# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "16" "-p" "-t" "exon" "-g" "gene_name" "-a" "/home/alexto22/00_reference/GRCh38.p14_DNA_primary_assembly_index/gencode.v44.primary_assembly.annotation.gtf" "-o" "./featurecounts/b2c_sorted_featurecounts.txt" "./bam_sorted/b2c_sorted.bam" 
Geneid	./bam_sorted/b2c_sorted.bam
CAMTA1-AS1	0
ENSG00000270171	0
ENSG00000270035	0
ENSG00000269978	0
VAMP3	4583
ENSG00000269925	4
PER3	1206
ENSG00000236266	4
UTS2	46
TNFRSF9	709
ENSG00000270330	0
PARK7	4359
Y_RNA	265
ENSG00000284747	7
ENSG00000284716	0
ERRFI1	5858
ERRFI1-DT	2
RPL7AP18	0
ENSG00000229305	0
ENSG00000288816	0
LINC01714	2
RNU1-7P	0
ENSG00000233645	0
RNU6-991P	0
SLC45A1	2
RERE	4910
RERE-AS1	2
ENSG00000221083	0
ENSG00000270282	0
RPL7P11	0
RPL7P7	2
ENSG00000226545	0
ENSG00000228423	4
RPL23AP19	0
ENO1	23152
MIR6728	0
ENO1-AS1	0
RNU6-304P	0
HMGN2P17	16
ENSG00000232208	6
ENSG00000232663	0
CA6	0
ENSG00000290109	0
RN7SL451P	0
SLC2A7	0
SLC2A5	126
ENSG00000252404	0
GPR157	468
MIR34AHG	219
MIR34A	0
ENSG00000289914	10
LNCTAM34A	33
H6PD	6942
SPSB1	884
ENSG00000284652	8
LINC02606	20
RNA5SP40	0
ENSG00000235263	0
SLC25A33	220
ENSG00000231181	5
TMEM201	295
PIK3CD	568
PIK3CD-AS1	2
ENSG00000233268	0
PIK3CD-AS2	24
CLSTN1	3353
MZT1P1	0
ENSG00000280113	0
CTNNBIP1	647
ENSG00000223989	0
ENSG00000285701	6
LZIC	1495
ENSG00000228150	13
NMNAT1	388
RN7SKP269	0
TMEM274P	0
MIR5697	0
ENSG00000241326	0
RBP7	46
UBE4B	4062
RPL21P21	0
PGAM1P11	0
RNU6-828P	0
KIF1B	6746
ENSG00000264881	0
RNU6-37P	0
RN7SL731P	0
ENSG00000284735	49
ENSG00000284642	62
PGD	3784
ENSG00000271989	0
CENPS-CORT	1
CENPS	6
CORT	0
DFFA	2604
ENSG00000203469	0
PEX14	403
ENSG00000287727	6
RN7SL614P	0
CASZ1	36
ENSG00000272078	4
HSPE1P24	0
C1orf127	4
CFL1P6	0
TARDBP	2742
MASP2	107
SRM	869
EXOSC10	1261
ENSG00000226849	2
EXOSC10-AS1	1
MTOR	2512
MTOR-AS1	1
RNU6-537P	0
ANGPTL7	18
RNU6-291P	0
RPL39P6	0
UBIAD1	539
UBE2V2P3	6
ENSG00000284646	0
MTCYBP45	0
DISP3	0
ENSG00000285833	0
LINC01647	0
ENSG00000284708	5
FBXO2	917
FBXO44	259
MAD2L2	809
FBXO6	41
DRAXIN	68
AGTRAP	472
C1orf167	0
C1orf167-AS1	0
MTHFR	1709
CLCN6	1757
ENSG00000276470	0
ENSG00000278852	0
NPPA	2
ENSG00000275915	0
NPPB	42
SBF1P2	6
ENSG00000285646	26
RNU5E-1	0
RNU5E-4P	0
KIAA2013	1450
PLOD1	9185
ENSG00000287384	0
MFN2	3914
ENSG00000270914	0
MIIP	258
MIR6729	0
RN7SL649P	0
TNFRSF8	84
RNU6-777P	0
RPL23AP89	0
ENSG00000285604	0
MIR7846	0
TNFRSF1B	3315
MIR4632	0
RPL10P17	0
SNORA70	4
VPS13D	3589
SNORA59A	5
LINC02766	2
DHRS3	295
RNU6ATAC18P	0
MIR6730	0
ENSG00000288927	7
ENSG00000272482	16
AADACL4	0
ENSG00000226166	0
AADACL3	0
CFAP107	0
PRAMEF12	0
PRAMEF1	0
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	19
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	0
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	7
PRAMEF36P	0
ENSG00000290772	0
ENSG00000233336	0
PRAMEF26	0
HNRNPCL4	10
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	0
PRAMEF33	0
PRAMEF15	0
ENSG00000228229	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	40
ENSG00000259961	0
BRWD1P1	0
PDPN	8584
RNA5SP41	0
ENSG00000237445	22
ENSG00000253085	0
PRDM2	2079
ENSG00000289380	2
KAZN	609
RNU6-1265P	0
ENSG00000231606	0
KAZN-AS1	0
TBCAP2	0
ENSG00000287756	0
TMEM51-AS1	114
TMEM51	1060
TMEM51-AS2	6
MFFP1	0
ZBTB2P1	0
FHAD1	54
FHAD1-AS1	0
ENSG00000236045	0
EFHD2-AS1	4
EFHD2	1896
CTRC	4
CELA2A	1
CELA2B	13
CASP9	349
DNAJC16	896
SCARNA21B	0
ENSG00000272510	0
AGMAT	8
ENSG00000237301	0
CHCHD2P6	28
RNU7-179P	0
CD24P1	0
DDI2	3244
RSC1A1	0
ENSG00000271742	0
PLEKHM2	3179
ENSG00000237938	15
SLC25A34	18
SLC25A34-AS1	0
TMEM82	0
FBLIM1	1502
RPL12P14	88
UQCRHL	180
ENSG00000178715	170
SPEN-AS1	47
SPEN	6624
ENSG00000270620	0
ZBTB17	272
ENSG00000234607	0
ENSG00000231353	0
ENSG00000275503	0
TBC1D3P6	0
SRARP	0
ENSG00000233078	0
HSPB7	394
CLCNKA	89
FAM131C2P	2
CLCNKB	124
FAM131C	4
EPHA2	1148
EPHA2-AS1	10
ENSG00000224621	13
ARHGEF19-AS1	0
ARHGEF19	201
ENSG00000291077	1
ANO7L1	0
ENSG00000288398	108
CPLANE2	56
MT1XP1	2
FBXO42	1281
SZRD1	3131
RPL22P3	0
SPATA21	2
NECAP2	1870
LINC01772	24
CROCCP3	59
RNU1-1	0
ENSG00000261135	0
ENSG00000285853	0
ENSG00000224174	0
LINC01783	2
RNU1-6P	0
PDE4DIPP8	0
NBPF1	502
ENSG00000271732	0
CROCCP2	254
ENSG00000283773	0
MST1P2	67
ENSG00000282143	0
RNU1-3	0
ENSG00000280114	0
EIF1AXP1	74
ENSG00000290849	0
ESPNP	4
ENSG00000279151	0
ENSG00000282740	0
CROCC	220
ENSG00000290850	0
RNU1-4	0
CROCCP4	0
ENSG00000290851	8
MST1L	0
ENSG00000223643	0
PDE4DIPP9	0
MIR3675	0
ENSG00000228549	14
RNU1-5P	0
ENSG00000238142	22
ENSG00000235241	0
RNU1-2	0
ENSG00000272426	4
ENSG00000290122	1
MFAP2	818
ENSG00000286898	0
ENSG00000226526	2
ATP13A2	324
ENSG00000288636	0
SDHB	1175
PADI2	601
LINC02783	0
ENSG00000282843	0
PADI1	18
PADI3	0
MIR3972	0
PADI4	204
PADI6	0
RCC2-AS1	0
RCC2	2567
ENSG00000290096	0
ARHGEF10L	651
LINC02810	0
ACTL8	0
ENSG00000284653	0
LINC01654	0
IGSF21	10
ENSG00000280222	0
IGSF21-AS1	0
ENSG00000225387	0
KLHDC7A	4
DYNLL1P3	0
ENSG00000225478	0
PAX7	0
TAS1R2	0
ALDH4A1	82
MIR4695	0
MIR1290	0
IFFO2	780
ENSG00000272084	3
UBR4	12921
EMC1-AS1	1
EMC1	1961
MRTO4	567
ENSG00000286064	3
AKR7L	23
AKR7A3	12
ENSG00000270728	55
AKR7A2	644
RNU6-1099P	0
SLC66A1	323
CAPZB	6415
RN7SL277P	0
MICOS10	67
RNU4-28P	0
MICOS10-DT	0
NBL1	76
MICOS10-NBL1	0
ENSG00000226396	57
HTR6	8
TMCO4	178
RNF186	0
RNF186-AS1	0
OTUD3	902
PLA2G2E	0
RN7SL304P	0
PLA2G2A	653
PLA2G5	6
PLA2G2D	8
PLA2G2F	6
ENSG00000227066	0
PLA2G2C	8
UBXN10	52
LINC01757	0
ENSG00000284710	0
VWA5B1	52
ENSG00000226664	0
LINC01141	2
ENSG00000226487	0
ENSG00000284641	0
ENSG00000284743	0
CAMK2N1	1488
ENSG00000289402	0
MUL1	1155
RPS4XP4	0
FAM43B	54
CDA	106
PINK1	571
MIR6084	0
PINK1-AS	61
DDOST	6073
KIF17	66
ENSG00000235432	0
SH2D5	70
ENSG00000233069	0
HP1BP3	4924
EIF4G3	4336
RNU7-200P	0
MIR1256	0
RPS15AP6	0
ENSG00000236073	0
HSPE1P27	0
ENSG00000287192	0
ECE1	9324
ENSG00000236936	14
ECE1-AS1	8
PPP1R11P1	0
PDE4DIPP10	0
ENSG00000236009	0
NBPF2P	11
HS6ST1P1	2
CROCCP5	0
NBPF3	358
PFN1P10	0
ALPL	243
ENSG00000289715	0
LINC02596	0
RAP1GAP	282
USP48	2453
ENSG00000231978	0
LDLRAD2	4
HSPG2	11683
RPL21P29	0
ENSG00000283234	0
CELA3B	0
ENSG00000285959	0
RN7SL386P	0
RNU6-1022P	0
CELA3A	0
RN7SL186P	0
RNU6-776P	0
LINC01635	0
LINC00339	28
ENSG00000289694	0
CDC42-AS1	6
ENSG00000285794	0
CDC42	120
CDC42-IT1	0
MPHOSPH6P1	6
WNT4	222
ENSG00000285873	5
MIR4418	0
PPIAP34	0
ENSG00000279625	0
ZBTB40	1058
ZBTB40-IT1	10
EPHA8	0
MIR6127	0
C1QA	195
ENSG00000289692	0
C1QC	1777
C1QB	444
EPHB2	1455
MIR4684	0
ENSG00000225952	0
MIR4253	0
LACTBL1	0
TEX46	2
KDM1A	5426
ENSG00000240553	0
MIR3115	0
ENSG00000266802	0
LUZP1	3411
ENSG00000229010	0
RNU6-514P	0
RNU6-135P	0
ENSG00000289014	2
HTR1D	28
RPL29P6	2
LINC01355	38
ENSG00000284726	12
HNRNPR	5854
ZNF436	841
ZNF436-AS1	79
ENSG00000271420	0
TCEA3	733
ENSG00000232482	0
ASAP3	1241
E2F2	30
ENSG00000235052	0
ID3	596
ENSG00000285802	4
MDS2	4
EEF1A1P48	0
RPL11	25551
ELOA-AS1	13
ELOA	3553
PITHD1	1909
ENSG00000289835	5
LYPLA2	1188
GALE	1179
HMGCL	819
FUCA1	10297
CNR2	79
BTBD6P1	16
ENSG00000232557	0
MIR378F	0
H3P1	0
PNRC2	2446
SRSF10	2670
RPL36P5	0
ENSG00000225315	0
MYOM3	2
MYOM3-AS1	0
IL22RA1	8
IFNLR1	112
GRHL3	280
LINC02800	0
GRHL3-AS1	0
STPG1	249
NIPAL3	1431
ENSG00000288982	4
RCAN3AS	5
RCAN3	877
NCMAP-DT	0
NCMAP	66
ENSG00000227312	0
SRRM1	7225
ENSG00000284699	2
CLIC4	11746
RNU6-1208P	1
RUNX3	474
MIR6731	0
RUNX3-AS1	5
ENSG00000261025	0
MIR4425	0
LINC02793	0
ENSG00000233755	0
IFITM3P7	0
ENSG00000231953	0
SYF2	2519
ENSG00000284602	15
ENSG00000284657	3
RSRP1	861
ENSG00000272432	2
ENSG00000261349	17
RHD	28
SDHDP6	25
ENSG00000259984	3
TMEM50A	2256
RHCE	50
ENSG00000238084	8
MACO1	1787
LDLRAP1	556
ENSG00000225643	14
MAN1C1	695
ENSG00000233478	8
SELENON	2955
ENSG00000255054	0
ENSG00000228172	9
MTFR1L	866
ENSG00000272478	0
AUNIP	38
ENSG00000236528	4
PAQR7	490
STMN1	1202
SNRPFP2	0
ENSG00000223624	0
MIR3917	0
PAFAH2	361
RNU6-110P	0
ENSG00000252190	0
ENSG00000252691	0
EXTL1	2
SLC30A2	33
ENSG00000284309	0
TRIM63	24
PDIK1L	272
FAM110D	0
C1orf232	0
ZNF593OS	10
ZNF593	0
CNKSR1	136
CATSPER4	0
ZPLD2P	4
ENSG00000278572	4
CEP85	588
ENSG00000270733	0
SH3BGRL3	1991
UBXN11	203
CD52	70
CRYBG2	289
ENSG00000225854	6
ZNF683	4
LIN28A	248
DHDDS	1721
RPL17P9	8
DHDDS-AS1	11
HMGN2	5559
DPPA2P2	0
RPS6KA1	1477
MIR1976	0
RN7SL679P	0
RNU7-29P	0
ENSG00000289452	0
ENSG00000229247	0
ENSG00000238316	0
ENSG00000235069	0
ENSG00000260063	18
ENSG00000290006	0
ARID1A	6056
PIGV	350
RN7SL165P	0
ENSG00000287810	0
ZDHHC18	2023
SFN	392
GPN2	1533
ENSG00000226698	0
ENSG00000289554	60
GPATCH3	385
NUDC	2508
NR0B2	0
KDF1	92
RPL12P13	12
RPL32P6	0
OSTCP2	70
TRNP1	223
TENT5B	156
SLC9A1	2483
ENSG00000229985	0
CHCHD3P3	10
NPM1P39	330
SNRPEP7	0
WDTC1-DT	0
WDTC1	1966
ENSG00000243659	8
TMEM222	859
RNU6-48P	0
ACTG1P20	9
SYTL1	333
MAP3K6	392
FCN3	0
CD164L2	0
ENSG00000231207	0
GPR3	88
WASF2	8964
ENSG00000241169	0
ENSG00000237429	29
AHDC1	2038
FGR	210
ENSG00000235912	18
LINC02574	2
IFI6	269
ENSG00000225886	2
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
ENSG00000287244	0
FAM76A	297
ENSG00000231344	0
RPEP3	0
STX12	3495
ENSG00000269971	0
ENSG00000270031	2
RNU6-1245P	0
ENSG00000286433	4
PPP1R8	1263
SCARNA1	0
THEMIS2	334
RPA2	1187
SMPDL3B	14
ENSG00000227050	0
XKR8	531
EYA3	1176
ENSG00000238231	2
RN7SL559P	2
SPCS2P4	82
ENSG00000228943	0
ENSG00000289576	0
ARL8BP2	0
RNU6-176P	0
PTAFR	970
DNAJC8	3118
ENSG00000290123	0
ATP5IF1	372
ENSG00000270605	27
ENSG00000271398	5
SESN2	1647
MED18	510
PHACTR4	1968
DNAJC8P4	0
RNU6ATAC27P	0
RCC1	1714
SNHG3	353
SNORA73A	0
SNORA73B	9
PRDX3P2	0
ENSG00000279443	48
TRNAU1AP	442
SNHG12	1242
SNORD99	10
SNORA61	0
SNORA44	0
SNORA16A	0
TAF12	793
RAB42	289
TAF12-DT	0
ENSG00000270103	0
RNU11	0
GMEB1	543
ENSG00000252777	0
ENSG00000289291	8
YTHDF2	2610
OPRD1	12
ENSG00000233427	0
EPB41	3464
ENSG00000225616	22
Metazoa_SRP	37
TMEM200B	383
ENSG00000225750	2
SRSF4	4080
ENSG00000277916	0
MECR	428
ENSG00000237934	2
PTPRU	1651
LINC01756	0
ENSG00000225011	0
ENSG00000228176	0
ENSG00000284676	0
ENSG00000270927	0
LINC01648	0
ENSG00000233372	0
ENSG00000231251	0
ENSG00000236335	0
ENSG00000231949	0
ENSG00000289710	0
MATN1	45
MATN1-AS1	130
ENSG00000287510	0
LAPTM5	4440
MIR4420	0
ENSG00000229607	0
LINC01778	0
RN7SKP91	0
ENSG00000235143	2
SDC3	6340
RN7SL371P	0
PUM1	4322
ENSG00000237329	0
ENSG00000232768	0
SELENOWP1	0
RPL21P22	0
NKAIN1	24
SNRNP40	814
ENSG00000229447	10
ZCCHC17	478
ENSG00000229044	0
FABP3	280
SERINC2	614
EEF1A1P46	0
RNU6-40P	0
LDC1P	0
LINC01226	0
ENSG00000229167	0
TINAGL1	717
HCRTR1	2
PEF1	1198
PEF1-AS1	4
ENSG00000264078	0
COL16A1	2005
ADGRB2	1528
MIR4254	0
ENSG00000254545	0
SPOCD1	95
ENSG00000203620	0
ENSG00000269967	2
PTP4A2	13693
ENSG00000288678	0
ENSG00000228634	15
ENSG00000284702	0
KHDRBS1	10966
ENSG00000203325	4
TMEM39B	318
MIR5585	0
KPNA6	5713
ENSG00000250135	0
TXLNA	3139
CCDC28B	149
ENSG00000224066	4
IQCC	29
DCDC2B	12
TMEM234	98
EIF3I	6586
ENSG00000291132	10
MTMR9LP	0
ENSG00000290045	0
FAM167B	9
LCK	0
HDAC1	1837
MARCKSL1	3225
ENSG00000233775	0
TSSK3	15
FAM229A	104
BSDC1	2611
GAPDHP20	0
ENSG00000270850	0
LRRC37A12P	0
RN7SL122P	0
ENSG00000254553	0
ZBTB8B	33
ZBTB8A	206
ZBTB8OS	305
RBBP4	4845
SYNC	18
ENSG00000224409	0
KIAA1522	4006
YARS1	4148
S100PBP	979
FNDC5	158
HPCA	7
TMEM54	82
ENSG00000287691	6
RNF19B	752
ENSG00000278966	0
ENSG00000217644	0
ENSG00000239670	0
ENSG00000236065	0
AK2	2405
AZIN2	101
ENSG00000278997	15
TRIM62	153
ENSG00000279179	10
ENSG00000284721	0
ZNF362	742
ENSG00000270115	0
A3GALT2	0
ENSG00000225313	34
PHC2	2933
MIR3605	2
RN7SKP16	6
PHC2-AS1	0
TLR12P	0
ZSCAN20	239
ENSG00000235907	2
CSMD2	82
HSPD1P14	0
HMGB4	0
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0
ENSG00000270241	0
ENSG00000287703	0
MIR552	0
SMIM12	403
GJB5	6
GJB4	0
ENSG00000255811	0
GJB3	14
GJA4	36
ENSG00000230163	0
DLGAP3	26
ENSG00000284773	119
GPR199P	12
TMEM35B	6
ENSG00000271741	0
ZMYM6	328
ZMYM1	504
RPL12P45	0
EFCAB14P1	10
ENSG00000284640	4
SFPQ	3212
ZMYM4	2068
RN7SL503P	0
SNORA62	0
RPL5P4	228
ZMYM4-AS1	1
KIAA0319L	4395
ENSG00000236274	0
NCDN	516
TFAP2E-AS1	15
TFAP2E	32
PSMB2	3328
C1orf216	170
CLSPN	110
ENSG00000232335	0
AGO4	1547
AGO1	2738
CFAP97P1	0
ENSG00000286899	2
ENSG00000271914	0
AGO3	3113
ENSG00000271554	0
ENSG00000232862	0
TEKT2	12
ADPRS	636
COL8A2	1854
TRAPPC3	1297
MAP7D1	3784
RN7SL131P	0
THRAP3	8945
UBE2V2P4	0
SH3D21	934
EVA1B	0
ENSG00000286379	16
STK40	4225
LSM10	491
RNU4-27P	0
OSCP1	109
SNORA63C	0
MRPS15	961
CSF3R	3561
FTLP18	2
ENSG00000284705	0
ENSG00000284720	0
ENSG00000234481	0
GRIK3	4
ENSG00000284650	0
ENSG00000223944	4
MIR4255	0
RNU6-636P	0
RNA5SP43	0
RPS29P6	0
ZC3H12A-DT	128
ZC3H12A	919
MIR6732	0
MEAF6	1246
MIR5581	0
SNIP1	1054
FTH1P1	56
RPS27P9	68
DNALI1	774
GNL2	3172
ENSG00000284748	0
RSPO1	506
C1orf109	535
CDCA8	134
EPHA10	0
ACTN4P2	0
ENSG00000227416	0
MANEAL	6
ENSG00000233728	0
YRDC	737
C1orf122	426
MTF1	1427
ENSG00000235673	0
ENSG00000230955	0
INPP5B	651
SNORA63	0
RNU6-584P	0
SF3A3	2495
RNU6-510P	7
FHL3	1148
UTP11	1499
POU3F1	4
MIR3659HG	0
ENSG00000223589	1
MIR3659	0
LINC02786	2
ENSG00000286552	0
ENSG00000287987	0
LINC01343	1
ENSG00000275350	0
RNU6-753P	0
LINC01685	0
HSPA5P1	193
ENSG00000284632	0
RRAGC	876
ENSG00000273637	0
RRAGC-DT	9
MYCBP	287
ENSG00000274944	0
GJA9	0
RHBDL2	2
RNU6-605P	0
EIF1P2	0
AKIRIN1	4543
NDUFS5	1596
MACF1	11245
RNU6-608P	0
RNA5SP44	0
ENSG00000287422	0
ENSG00000226438	0
HSPE1P8	2
BMP8A	16
OXCT2P1	2
PPIEL	60
PABPC4	6438
PABPC4-AS1	1
SNORA55	0
HEYL	257
ENSG00000225903	0
NT5C1A	174
HPCAL4	294
PPIE	1028
ENSG00000225333	8
RNU7-121P	0
ENSG00000289711	0
BMP8B	40
OXCT2	2
BMP8B-AS1	0
ENSG00000261798	0
ENSG00000229213	0
ENSG00000284719	0
LINC02811	0
TRIT1	508
MYCL	183
MYCL-AS1	0
MFSD2A	169
ENSG00000228477	8
CAP1	9485
PPT1	2218
OAZ1P1	0
RLF	2343
RNU6-1237P	0
TMCO2	2
ZMPSTE24-DT	82
ZMPSTE24	1595
ENSG00000231296	0
COL9A2	182
RPL21P20	2
SMAP2	1858
ENSG00000213172	0
ENSG00000290111	3
ENSG00000284677	2
ZFP69B	65
ENSG00000260920	58
ENSG00000279667	2
ZFP69	88
EXO5-DT	2
EXO5	67
ENSG00000227278	0
ENSG00000238186	5
ZNF684	77
ENSG00000286838	0
ENSG00000236505	0
GTF2F2P2	0
RIMS3	388
ENSG00000287743	2
ENSG00000237899	2
NFYC-AS1	18
NFYC	899
MIR30E	0
MIR30C1	0
KCNQ4	6
RN7SL326P	0
CITED4	62
ENSG00000229528	0
ENSG00000228940	0
ENSG00000286668	0
UBE2V1P8	0
CTPS1	501
SLFNL1-AS1	3
SLFNL1	8
SCMH1	1551
RPL23AP17	0
ENSG00000287400	0
SCMH1-DT	0
RPL36AP9	0
ENSG00000291157	1
ENSG00000286640	0
FOXO6	68
FOXO6-AS1	4
RNA5SP45	0
EDN2	0
HIVEP3	667
ENSG00000230881	1
ENSG00000230638	2
ENSG00000284895	0
ENSG00000287587	0
HNRNPFP1	0
ENSG00000228776	0
GUCA2B	0
GUCA2A	0
FOXJ3	3103
ENSG00000227527	4
RIMKLA	16
ENSG00000235002	0
ZMYND12	10
PPCS	608
CCDC30	71
RPS3AP11	0
TMSB4XP1	24
RNU6-536P	0
ENSG00000236180	0
PPIH	307
ENSG00000285728	33
ENSG00000234917	0
YBX1	18506
CLDN19	131
P3H1	4584
C1orf50	159
ENSG00000283580	0
C1orf50-AS1	0
TMEM269	121
SVBP	265
ERMAP	367
ZNF691-DT	11
ZNF691	94
ENSG00000233708	0
MKRN8P	2
ATP6V1E1P1	2
ENSG00000288955	0
SLC2A1	21431
ATP6V0CP4	0
SLC2A1-DT	23
ENSG00000283973	20
RNU6-880P	0
ENSG00000277513	0
CFAP144	9
EBNA1BP2	783
MIR6733	0
CFAP57	21
RNA5SP46	0
TMEM125	96
C1orf210	52
TIE1	414
MPL	28
ENSG00000287113	0
CDC20-DT	10
CDC20	248
ELOVL1	1060
MIR6734	0
ENSG00000288772	4
MED8	994
MED8-AS1	27
SZT2	1490
SZT2-AS1	0
