# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "16" "-p" "-t" "exon" "-g" "gene_name" "-a" "/home/alexto22/00_reference/GRCh38.p14_DNA_primary_assembly_index/gencode.v44.primary_assembly.annotation.gtf" "-o" "./featurecounts/b1s_sorted_featurecounts.txt" "./bam_sorted/b1s_sorted.bam" 
Geneid	./bam_sorted/b1s_sorted.bam
ENSG00000268575	106
ENSG00000227775	401
ENSG00000290854	80
SLC35E2A	0
NADK	4650
GNB1	21150
GNB1-DT	4
CALML6	8
TMEM52	42
CFAP74	10
ENSG00000233542	0
GABRD	6
PRKCZ-DT	0
PRKCZ	901
ENSG00000271806	8
PRKCZ-AS1	60
FAAP20	1104
ENSG00000234396	0
SKI	6738
ENSG00000287356	167
MORN1	169
ENSG00000272161	0
ENSG00000269896	49
ENSG00000272420	12
RER1	6201
PEX10	664
PLCH2	131
ENSG00000224387	0
ENSG00000229393	0
PANK4	1190
HES5	0
ENSG00000272449	22
TNFRSF14-AS1	25
TNFRSF14	992
ENSG00000225931	2
ENSG00000228037	0
ENSG00000289610	2
PRXL2B	960
MMEL1	32
MMEL1-AS1	2
TTC34	8
ENSG00000285945	0
ENSG00000283259	0
ENSG00000233234	0
ENSG00000287396	0
ENSG00000231630	0
ENSG00000284745	0
ACTRT2	0
PRDM16-DT	14
PRDM16	214
MIR4251	0
ENSG00000226286	0
ENSG00000279839	0
ENSG00000272235	6
ENSG00000287828	16
ENSG00000286518	0
ARHGEF16	981
ENSG00000272088	0
MEGF6	805
MIR551A	0
ENSG00000238260	12
TPRG1L	3435
WRAP73	923
TP73	103
TP73-AS3	0
TP73-AS2	0
TP73-AS1	1556
ENSG00000276189	0
CCDC27	14
SMIM1	81
LRRC47	2933
RN7SL574P	3
ENSG00000272153	23
CEP104	2404
DFFB	340
C1orf174	1280
LINC01134	19
LINC01346	0
LINC01345	2
LINC02780	0
ENSG00000284703	0
EEF1DP6	0
LINC01777	0
ENSG00000284694	0
ENSG00000227169	0
LINC01646	0
AJAP1	208
ENSG00000287586	2
ENSG00000284739	0
LINC02781	0
LINC02782	4
ENSG00000284616	0
ENSG00000284692	0
ENSG00000284666	0
ENSG00000260972	0
ENSG00000283356	0
ENSG00000236948	0
ENSG00000264341	0
ENSG00000289893	1
MIR4689	4
NPHP4	529
KCNAB2	3141
CHD5	36
ENSG00000285629	0
RPL22	5713
RNF207-AS1	0
RNF207	199
ICMT	6801
ICMT-DT	44
HES3	22
GPR153	1030
ACOT7	860
ENSG00000271746	4
HES2	240
ESPN	283
MIR4252	0
ENSG00000231868	0
TNFRSF25	357
PLEKHG5	1312
NOL9	1517
RNU6-731P	0
ENSG00000229519	4
TAS1R1	0
ZBTB48	716
KLHL21	1139
PHF13	2558
THAP3	698
DNAJC11	2430
LINC01672	0
ENSG00000284744	0
CAMTA1-DT	4
CAMTA1	1238
ENSG00000227950	0
CAMTA1-AS3	0
RNU1-8P	0
CAMTA1-IT1	0
CAMTA1-AS2	0
CAMTA1-AS1	4
ENSG00000270171	0
ENSG00000270035	0
ENSG00000269978	4
VAMP3	6595
ENSG00000269925	34
PER3	1203
ENSG00000236266	10
UTS2	64
TNFRSF9	236
ENSG00000270330	0
PARK7	7107
Y_RNA	320
ENSG00000284747	30
ENSG00000284716	5
ERRFI1	10524
ERRFI1-DT	6
RPL7AP18	0
ENSG00000229305	2
ENSG00000288816	0
LINC01714	4
RNU1-7P	0
ENSG00000233645	0
RNU6-991P	0
SLC45A1	8
RERE	7840
RERE-AS1	1
ENSG00000221083	0
ENSG00000270282	0
RPL7P11	2
RPL7P7	3
ENSG00000226545	0
ENSG00000228423	1
RPL23AP19	0
ENO1	62935
MIR6728	0
ENO1-AS1	0
RNU6-304P	0
HMGN2P17	68
ENSG00000232208	2
ENSG00000232663	0
CA6	1
ENSG00000290109	0
RN7SL451P	0
SLC2A7	4
SLC2A5	754
ENSG00000252404	0
GPR157	946
MIR34AHG	444
MIR34A	0
ENSG00000289914	0
LNCTAM34A	45
H6PD	7997
SPSB1	1870
ENSG00000284652	0
LINC02606	60
RNA5SP40	0
ENSG00000235263	0
SLC25A33	677
ENSG00000231181	8
TMEM201	712
PIK3CD	1463
PIK3CD-AS1	8
ENSG00000233268	0
PIK3CD-AS2	26
CLSTN1	11122
MZT1P1	0
ENSG00000280113	0
CTNNBIP1	1345
ENSG00000223989	0
ENSG00000285701	0
LZIC	3269
ENSG00000228150	11
NMNAT1	852
RN7SKP269	3
TMEM274P	2
MIR5697	2
ENSG00000241326	0
RBP7	122
UBE4B	6115
RPL21P21	0
PGAM1P11	0
RNU6-828P	2
KIF1B	8916
ENSG00000264881	0
RNU6-37P	0
RN7SL731P	0
ENSG00000284735	12
ENSG00000284642	42
PGD	9569
ENSG00000271989	0
CENPS-CORT	0
CENPS	17
CORT	3
DFFA	4503
ENSG00000203469	0
PEX14	1016
ENSG00000287727	0
RN7SL614P	0
CASZ1	151
ENSG00000272078	14
HSPE1P24	0
C1orf127	54
CFL1P6	0
TARDBP	7642
MASP2	141
SRM	2306
EXOSC10	3380
ENSG00000226849	2
EXOSC10-AS1	0
MTOR	5494
MTOR-AS1	3
RNU6-537P	0
ANGPTL7	18
RNU6-291P	0
RPL39P6	0
UBIAD1	983
UBE2V2P3	4
ENSG00000284646	0
MTCYBP45	0
DISP3	28
ENSG00000285833	0
LINC01647	1
ENSG00000284708	8
FBXO2	1211
FBXO44	777
MAD2L2	1400
FBXO6	389
DRAXIN	220
AGTRAP	1304
C1orf167	3
C1orf167-AS1	0
MTHFR	2662
CLCN6	2202
ENSG00000276470	0
ENSG00000278852	0
NPPA	4
ENSG00000275915	0
NPPB	406
SBF1P2	0
ENSG00000285646	52
RNU5E-1	0
RNU5E-4P	1
KIAA2013	3321
PLOD1	24314
ENSG00000287384	8
MFN2	6528
ENSG00000270914	0
MIIP	643
MIR6729	0
RN7SL649P	4
TNFRSF8	58
RNU6-777P	0
RPL23AP89	0
ENSG00000285604	0
MIR7846	0
TNFRSF1B	7947
MIR4632	0
RPL10P17	0
SNORA70	3
VPS13D	5443
SNORA59A	2
LINC02766	0
DHRS3	1684
RNU6ATAC18P	2
MIR6730	0
ENSG00000288927	49
ENSG00000272482	15
AADACL4	0
ENSG00000226166	0
AADACL3	92
CFAP107	16
PRAMEF12	4
PRAMEF1	13
LINC01784	0
PRAMEF11	0
PRAMEF30P	0
HNRNPCL1	19
PRAMEF2	3
PRAMEF4	10
PRAMEF10	4
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	10
PRAMEF28P	10
PRAMEF27	10
HNRNPCL3	0
PRAMEF25	0
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	5
PRAMEF36P	0
ENSG00000290772	0
ENSG00000233336	0
PRAMEF26	0
HNRNPCL4	7
PRAMEF9	0
PRAMEF13	8
PRAMEF18	2
PRAMEF31P	0
PRAMEF5	2
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	2
PRAMEF33	0
PRAMEF15	10
ENSG00000228229	0
PRAMEF14	0
PRAMEF19	6
PRAMEF17	4
PRAMEF20	1
LRRC38	60
ENSG00000259961	0
BRWD1P1	0
PDPN	16898
RNA5SP41	0
ENSG00000237445	0
ENSG00000253085	0
PRDM2	4057
ENSG00000289380	0
KAZN	1053
RNU6-1265P	0
ENSG00000231606	0
KAZN-AS1	0
TBCAP2	2
ENSG00000287756	0
TMEM51-AS1	418
TMEM51	3134
TMEM51-AS2	5
MFFP1	0
ZBTB2P1	6
FHAD1	60
FHAD1-AS1	0
ENSG00000236045	0
EFHD2-AS1	6
EFHD2	3934
CTRC	2
CELA2A	25
CELA2B	10
CASP9	803
DNAJC16	2190
SCARNA21B	0
ENSG00000272510	0
AGMAT	323
ENSG00000237301	0
CHCHD2P6	12
RNU7-179P	0
CD24P1	0
DDI2	4658
RSC1A1	0
ENSG00000271742	0
PLEKHM2	5860
ENSG00000237938	47
SLC25A34	80
SLC25A34-AS1	0
TMEM82	32
FBLIM1	4012
RPL12P14	62
UQCRHL	227
ENSG00000178715	84
SPEN-AS1	101
SPEN	7317
ENSG00000270620	0
ZBTB17	856
ENSG00000234607	0
ENSG00000231353	0
ENSG00000275503	0
TBC1D3P6	0
SRARP	2
ENSG00000233078	0
HSPB7	782
CLCNKA	37
FAM131C2P	11
CLCNKB	86
FAM131C	11
EPHA2	1232
EPHA2-AS1	21
ENSG00000224621	2
ARHGEF19-AS1	0
ARHGEF19	683
ENSG00000291077	19
ANO7L1	10
ENSG00000288398	300
CPLANE2	228
MT1XP1	4
FBXO42	2406
SZRD1	5562
RPL22P3	0
SPATA21	5
NECAP2	4325
LINC01772	53
CROCCP3	148
RNU1-1	0
ENSG00000261135	0
ENSG00000285853	2
ENSG00000224174	0
LINC01783	5
RNU1-6P	0
PDE4DIPP8	1
NBPF1	1902
ENSG00000271732	0
CROCCP2	824
ENSG00000283773	0
MST1P2	363
ENSG00000282143	0
RNU1-3	0
ENSG00000280114	4
EIF1AXP1	111
ENSG00000290849	2
ESPNP	4
ENSG00000279151	0
ENSG00000282740	0
CROCC	659
ENSG00000290850	0
RNU1-4	0
CROCCP4	0
ENSG00000290851	58
MST1L	0
ENSG00000223643	4
PDE4DIPP9	0
MIR3675	0
ENSG00000228549	26
RNU1-5P	0
ENSG00000238142	70
ENSG00000235241	0
RNU1-2	2
ENSG00000272426	0
ENSG00000290122	0
MFAP2	2637
ENSG00000286898	0
ENSG00000226526	4
ATP13A2	1550
ENSG00000288636	0
SDHB	2583
PADI2	828
LINC02783	2
ENSG00000282843	0
PADI1	26
PADI3	38
MIR3972	0
PADI4	257
PADI6	4
RCC2-AS1	0
RCC2	8724
ENSG00000290096	12
ARHGEF10L	1735
LINC02810	41
ACTL8	0
ENSG00000284653	0
LINC01654	0
IGSF21	36
ENSG00000280222	2
IGSF21-AS1	0
ENSG00000225387	10
KLHDC7A	126
DYNLL1P3	0
ENSG00000225478	0
PAX7	0
TAS1R2	0
ALDH4A1	474
MIR4695	0
MIR1290	0
IFFO2	776
ENSG00000272084	8
UBR4	15698
EMC1-AS1	13
EMC1	4905
MRTO4	1762
ENSG00000286064	4
AKR7L	5
AKR7A3	23
ENSG00000270728	56
AKR7A2	1554
RNU6-1099P	0
SLC66A1	974
CAPZB	15540
RN7SL277P	0
MICOS10	215
RNU4-28P	0
MICOS10-DT	0
NBL1	650
MICOS10-NBL1	0
ENSG00000226396	62
HTR6	0
TMCO4	539
RNF186	54
RNF186-AS1	0
OTUD3	1536
PLA2G2E	1
RN7SL304P	0
PLA2G2A	9424
PLA2G5	54
PLA2G2D	6
PLA2G2F	14
ENSG00000227066	6
PLA2G2C	4
UBXN10	127
LINC01757	0
ENSG00000284710	0
VWA5B1	20
ENSG00000226664	0
LINC01141	0
ENSG00000226487	0
ENSG00000284641	0
ENSG00000284743	0
CAMK2N1	2245
ENSG00000289402	9
MUL1	2076
RPS4XP4	0
FAM43B	62
CDA	120
PINK1	954
MIR6084	0
PINK1-AS	244
DDOST	17094
KIF17	116
ENSG00000235432	0
SH2D5	98
ENSG00000233069	2
HP1BP3	10287
EIF4G3	8302
RNU7-200P	0
MIR1256	0
RPS15AP6	2
ENSG00000236073	0
HSPE1P27	2
ENSG00000287192	4
ECE1	17962
ENSG00000236936	6
ECE1-AS1	8
PPP1R11P1	0
PDE4DIPP10	0
ENSG00000236009	0
NBPF2P	23
HS6ST1P1	14
CROCCP5	0
NBPF3	633
PFN1P10	0
ALPL	1514
ENSG00000289715	0
LINC02596	2
RAP1GAP	659
USP48	4786
ENSG00000231978	0
LDLRAD2	18
HSPG2	14485
RPL21P29	0
ENSG00000283234	0
CELA3B	0
ENSG00000285959	0
RN7SL386P	0
RNU6-1022P	0
CELA3A	0
RN7SL186P	0
RNU6-776P	0
LINC01635	0
LINC00339	36
ENSG00000289694	0
CDC42-AS1	13
ENSG00000285794	0
CDC42	160
CDC42-IT1	0
MPHOSPH6P1	2
WNT4	575
ENSG00000285873	8
MIR4418	0
PPIAP34	0
ENSG00000279625	0
ZBTB40	3379
ZBTB40-IT1	18
EPHA8	9
MIR6127	0
C1QA	2321
ENSG00000289692	0
C1QC	14336
C1QB	8051
EPHB2	2242
MIR4684	0
ENSG00000225952	0
MIR4253	0
LACTBL1	0
TEX46	0
KDM1A	8708
ENSG00000240553	0
MIR3115	0
ENSG00000266802	0
LUZP1	4955
ENSG00000229010	1
RNU6-514P	0
RNU6-135P	0
ENSG00000289014	2
HTR1D	218
RPL29P6	0
LINC01355	148
ENSG00000284726	26
HNRNPR	11547
ZNF436	1887
ZNF436-AS1	72
ENSG00000271420	4
TCEA3	886
ENSG00000232482	0
ASAP3	2246
E2F2	284
ENSG00000235052	10
ID3	2454
ENSG00000285802	4
MDS2	2
EEF1A1P48	0
RPL11	34218
ELOA-AS1	45
ELOA	3909
PITHD1	2540
ENSG00000289835	0
LYPLA2	2853
GALE	2457
HMGCL	1717
FUCA1	19878
CNR2	152
BTBD6P1	6
ENSG00000232557	0
MIR378F	0
H3P1	0
PNRC2	6326
SRSF10	6145
RPL36P5	0
ENSG00000225315	2
MYOM3	18
MYOM3-AS1	0
IL22RA1	108
IFNLR1	531
GRHL3	499
LINC02800	0
GRHL3-AS1	0
STPG1	397
NIPAL3	2308
ENSG00000288982	12
RCAN3AS	2
RCAN3	1736
NCMAP-DT	0
NCMAP	222
ENSG00000227312	2
SRRM1	8890
ENSG00000284699	0
CLIC4	22025
RNU6-1208P	0
RUNX3	1093
MIR6731	0
RUNX3-AS1	6
ENSG00000261025	0
MIR4425	0
LINC02793	0
ENSG00000233755	0
IFITM3P7	0
ENSG00000231953	0
SYF2	2563
ENSG00000284602	23
ENSG00000284657	12
RSRP1	2951
ENSG00000272432	18
ENSG00000261349	12
RHD	20
SDHDP6	24
ENSG00000259984	0
TMEM50A	6677
RHCE	34
ENSG00000238084	22
MACO1	3054
LDLRAP1	1838
ENSG00000225643	12
MAN1C1	2695
ENSG00000233478	6
SELENON	8808
ENSG00000255054	0
ENSG00000228172	23
MTFR1L	1915
ENSG00000272478	0
AUNIP	232
ENSG00000236528	0
PAQR7	1363
STMN1	7559
SNRPFP2	0
ENSG00000223624	0
MIR3917	0
PAFAH2	1586
RNU6-110P	0
ENSG00000252190	0
ENSG00000252691	0
EXTL1	30
SLC30A2	147
ENSG00000284309	23
TRIM63	78
PDIK1L	630
FAM110D	54
C1orf232	8
ZNF593OS	4
ZNF593	0
CNKSR1	446
CATSPER4	0
ZPLD2P	52
ENSG00000278572	6
CEP85	1140
ENSG00000270733	0
SH3BGRL3	4966
UBXN11	554
CD52	282
CRYBG2	695
ENSG00000225854	0
ZNF683	8
LIN28A	4142
DHDDS	2579
RPL17P9	2
DHDDS-AS1	12
HMGN2	16294
DPPA2P2	0
RPS6KA1	3432
MIR1976	0
RN7SL679P	2
RNU7-29P	0
ENSG00000289452	2
ENSG00000229247	0
ENSG00000238316	0
ENSG00000235069	0
ENSG00000260063	27
ENSG00000290006	0
ARID1A	12545
PIGV	815
RN7SL165P	0
ENSG00000287810	2
ZDHHC18	2804
SFN	820
GPN2	1665
ENSG00000226698	0
ENSG00000289554	47
GPATCH3	822
NUDC	4364
NR0B2	18
KDF1	390
RPL12P13	0
RPL32P6	0
OSTCP2	54
TRNP1	1051
TENT5B	620
SLC9A1	4235
ENSG00000229985	0
CHCHD3P3	20
NPM1P39	284
SNRPEP7	0
WDTC1-DT	0
WDTC1	3579
ENSG00000243659	8
TMEM222	1351
RNU6-48P	0
ACTG1P20	17
SYTL1	1211
MAP3K6	751
FCN3	10
CD164L2	0
ENSG00000231207	0
GPR3	44
WASF2	14532
ENSG00000241169	0
ENSG00000237429	22
AHDC1	3624
FGR	482
ENSG00000235912	58
LINC02574	30
IFI6	37020
ENSG00000225886	234
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
ENSG00000287244	0
FAM76A	630
ENSG00000231344	0
RPEP3	0
STX12	4235
ENSG00000269971	1
ENSG00000270031	0
RNU6-1245P	0
ENSG00000286433	0
PPP1R8	2524
SCARNA1	0
THEMIS2	1127
RPA2	2432
SMPDL3B	126
ENSG00000227050	0
XKR8	1022
EYA3	2488
ENSG00000238231	2
RN7SL559P	0
SPCS2P4	189
ENSG00000228943	0
ENSG00000289576	0
ARL8BP2	8
RNU6-176P	0
PTAFR	4281
DNAJC8	7576
ENSG00000290123	0
ATP5IF1	1036
ENSG00000270605	36
ENSG00000271398	0
SESN2	3594
MED18	702
PHACTR4	4850
DNAJC8P4	2
RNU6ATAC27P	3
RCC1	2269
SNHG3	621
SNORA73A	0
SNORA73B	13
PRDX3P2	0
ENSG00000279443	52
TRNAU1AP	891
SNHG12	677
SNORD99	3
SNORA61	0
SNORA44	0
SNORA16A	0
TAF12	1283
RAB42	833
TAF12-DT	0
ENSG00000270103	0
RNU11	0
GMEB1	1426
ENSG00000252777	0
ENSG00000289291	20
YTHDF2	5347
OPRD1	47
ENSG00000233427	2
EPB41	4786
ENSG00000225616	24
Metazoa_SRP	81
TMEM200B	668
ENSG00000225750	0
SRSF4	6096
ENSG00000277916	0
MECR	704
ENSG00000237934	0
PTPRU	3056
LINC01756	0
ENSG00000225011	0
ENSG00000228176	0
ENSG00000284676	0
ENSG00000270927	0
LINC01648	2
ENSG00000233372	2
ENSG00000231251	0
ENSG00000236335	0
ENSG00000231949	0
ENSG00000289710	0
MATN1	70
MATN1-AS1	60
ENSG00000287510	0
LAPTM5	13674
MIR4420	3
ENSG00000229607	0
LINC01778	0
RN7SKP91	0
ENSG00000235143	0
SDC3	13172
RN7SL371P	0
PUM1	8428
ENSG00000237329	0
ENSG00000232768	0
SELENOWP1	0
RPL21P22	0
NKAIN1	129
SNRNP40	2157
ENSG00000229447	7
ZCCHC17	1058
ENSG00000229044	0
FABP3	916
SERINC2	1585
EEF1A1P46	0
RNU6-40P	0
LDC1P	2
LINC01226	15
ENSG00000229167	15
TINAGL1	3454
HCRTR1	29
PEF1	2277
PEF1-AS1	10
ENSG00000264078	0
COL16A1	7760
ADGRB2	2450
MIR4254	0
ENSG00000254545	1
SPOCD1	207
ENSG00000203620	3
ENSG00000269967	14
PTP4A2	16109
ENSG00000288678	0
ENSG00000228634	6
ENSG00000284702	0
KHDRBS1	12859
ENSG00000203325	9
TMEM39B	565
MIR5585	0
KPNA6	6891
ENSG00000250135	0
TXLNA	5933
CCDC28B	333
ENSG00000224066	1
IQCC	128
DCDC2B	14
TMEM234	356
EIF3I	7655
ENSG00000291132	23
MTMR9LP	0
ENSG00000290045	5
FAM167B	25
LCK	62
HDAC1	6319
MARCKSL1	10021
ENSG00000233775	0
TSSK3	4
FAM229A	34
BSDC1	3336
GAPDHP20	0
ENSG00000270850	0
LRRC37A12P	0
RN7SL122P	0
ENSG00000254553	0
ZBTB8B	135
ZBTB8A	441
ZBTB8OS	789
RBBP4	9763
SYNC	139
ENSG00000224409	2
KIAA1522	7443
YARS1	9345
S100PBP	2329
FNDC5	504
HPCA	20
TMEM54	427
ENSG00000287691	6
RNF19B	2232
ENSG00000278966	15
ENSG00000217644	2
ENSG00000239670	2
ENSG00000236065	0
AK2	6634
AZIN2	286
ENSG00000278997	18
TRIM62	356
ENSG00000279179	6
ENSG00000284721	0
ZNF362	2518
ENSG00000270115	1
A3GALT2	0
ENSG00000225313	44
PHC2	4249
MIR3605	1
RN7SKP16	0
PHC2-AS1	2
TLR12P	0
ZSCAN20	782
ENSG00000235907	0
CSMD2	77
HSPD1P14	0
HMGB4	0
CSMD2-AS1	0
RNA5SP42	0
C1orf94	2
ENSG00000270241	0
ENSG00000287703	7
MIR552	0
SMIM12	1371
GJB5	32
GJB4	17
ENSG00000255811	0
GJB3	92
GJA4	170
ENSG00000230163	0
DLGAP3	112
ENSG00000284773	9
GPR199P	14
TMEM35B	4
ENSG00000271741	0
ZMYM6	668
ZMYM1	1060
RPL12P45	0
EFCAB14P1	14
ENSG00000284640	22
SFPQ	12780
ZMYM4	6517
RN7SL503P	0
SNORA62	0
RPL5P4	128
ZMYM4-AS1	8
KIAA0319L	7833
ENSG00000236274	0
NCDN	1102
TFAP2E-AS1	15
TFAP2E	126
PSMB2	7156
C1orf216	676
CLSPN	1139
ENSG00000232335	0
AGO4	2556
AGO1	5279
CFAP97P1	0
ENSG00000286899	0
ENSG00000271914	0
AGO3	3173
ENSG00000271554	2
ENSG00000232862	2
TEKT2	42
ADPRS	1518
COL8A2	2596
TRAPPC3	2950
MAP7D1	6598
RN7SL131P	0
THRAP3	11543
UBE2V2P4	0
SH3D21	1198
EVA1B	0
ENSG00000286379	15
STK40	5345
LSM10	932
RNU4-27P	0
OSCP1	302
SNORA63C	1
MRPS15	3162
CSF3R	3871
FTLP18	0
ENSG00000284705	0
ENSG00000284720	0
ENSG00000234481	0
GRIK3	8
ENSG00000284650	0
ENSG00000223944	0
MIR4255	0
RNU6-636P	0
RNA5SP43	0
RPS29P6	0
ZC3H12A-DT	144
ZC3H12A	515
MIR6732	0
MEAF6	2483
MIR5581	3
SNIP1	1210
FTH1P1	60
RPS27P9	98
DNALI1	841
GNL2	4436
ENSG00000284748	0
RSPO1	1323
C1orf109	968
CDCA8	996
EPHA10	42
ACTN4P2	0
ENSG00000227416	0
MANEAL	148
ENSG00000233728	0
YRDC	638
C1orf122	1151
MTF1	2003
ENSG00000235673	0
ENSG00000230955	0
INPP5B	1448
SNORA63	0
RNU6-584P	0
SF3A3	5003
RNU6-510P	5
FHL3	1303
UTP11	2384
POU3F1	36
MIR3659HG	0
ENSG00000223589	0
MIR3659	0
LINC02786	0
ENSG00000286552	0
ENSG00000287987	0
LINC01343	0
ENSG00000275350	0
RNU6-753P	0
LINC01685	2
HSPA5P1	353
ENSG00000284632	0
RRAGC	2207
ENSG00000273637	0
RRAGC-DT	52
MYCBP	705
ENSG00000274944	0
GJA9	0
RHBDL2	36
RNU6-605P	0
EIF1P2	0
AKIRIN1	8001
NDUFS5	3875
MACF1	15994
RNU6-608P	0
RNA5SP44	0
ENSG00000287422	0
ENSG00000226438	0
HSPE1P8	6
BMP8A	109
OXCT2P1	0
PPIEL	175
PABPC4	7975
PABPC4-AS1	22
SNORA55	0
HEYL	932
ENSG00000225903	0
NT5C1A	154
HPCAL4	116
PPIE	1697
ENSG00000225333	4
RNU7-121P	0
ENSG00000289711	0
BMP8B	110
OXCT2	4
BMP8B-AS1	4
ENSG00000261798	0
ENSG00000229213	0
ENSG00000284719	0
LINC02811	0
TRIT1	1018
MYCL	414
MYCL-AS1	2
MFSD2A	136
ENSG00000228477	6
CAP1	21512
PPT1	9659
OAZ1P1	0
RLF	4293
RNU6-1237P	0
TMCO2	0
ZMPSTE24-DT	160
ZMPSTE24	3734
ENSG00000231296	1
COL9A2	829
RPL21P20	2
SMAP2	3190
ENSG00000213172	2
ENSG00000290111	2
ENSG00000284677	0
ZFP69B	204
ENSG00000260920	138
ENSG00000279667	7
ZFP69	292
EXO5-DT	4
EXO5	160
ENSG00000227278	0
ENSG00000238186	10
ZNF684	144
ENSG00000286838	0
ENSG00000236505	0
GTF2F2P2	0
RIMS3	748
ENSG00000287743	0
ENSG00000237899	0
NFYC-AS1	20
NFYC	2344
MIR30E	0
MIR30C1	1
KCNQ4	18
RN7SL326P	9
CITED4	86
ENSG00000229528	0
ENSG00000228940	0
ENSG00000286668	2
UBE2V1P8	0
CTPS1	2154
SLFNL1-AS1	21
SLFNL1	15
SCMH1	2495
RPL23AP17	0
ENSG00000287400	0
SCMH1-DT	6
RPL36AP9	0
ENSG00000291157	2
ENSG00000286640	0
FOXO6	201
FOXO6-AS1	0
RNA5SP45	0
EDN2	0
HIVEP3	782
ENSG00000230881	0
ENSG00000230638	2
ENSG00000284895	0
ENSG00000287587	0
HNRNPFP1	0
ENSG00000228776	0
GUCA2B	8
GUCA2A	50
FOXJ3	4427
ENSG00000227527	16
RIMKLA	230
ENSG00000235002	0
ZMYND12	50
PPCS	2106
CCDC30	152
RPS3AP11	0
TMSB4XP1	32
RNU6-536P	0
ENSG00000236180	0
PPIH	593
ENSG00000285728	49
ENSG00000234917	2
YBX1	39070
CLDN19	462
P3H1	10689
C1orf50	239
ENSG00000283580	0
C1orf50-AS1	0
TMEM269	40
SVBP	594
ERMAP	632
ZNF691-DT	22
ZNF691	606
ENSG00000233708	0
MKRN8P	0
ATP6V1E1P1	18
ENSG00000288955	14
SLC2A1	82945
ATP6V0CP4	0
SLC2A1-DT	63
ENSG00000283973	29
RNU6-880P	4
ENSG00000277513	0
CFAP144	23
EBNA1BP2	2173
MIR6733	0
CFAP57	50
RNA5SP46	0
TMEM125	529
C1orf210	267
TIE1	898
MPL	13
ENSG00000287113	0
