# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "16" "-p" "-t" "exon" "-g" "gene_name" "-a" "/home/alexto22/00_reference/GRCh38.p14_DNA_primary_assembly_index/gencode.v44.primary_assembly.annotation.gtf" "-o" "./featurecounts/b1c_sorted_featurecounts.txt" "./bam_sorted/b1c_sorted.bam" 
Geneid	./bam_sorted/b1c_sorted.bam
MIR200B	0
MIR200A	1
MIR429	0
ENSG00000272141	0
TTLL10-AS1	6
TTLL10	4
TNFRSF18	0
TNFRSF4	24
SDF4	9661
B3GALT6	1568
C1QTNF12	18
ENSG00000260179	7
UBE2J2	2062
LINC01786	21
SCNN1D	140
ACAP3	1924
MIR6726	0
PUSL1	325
INTS11	2414
MIR6727	0
ENSG00000240731	52
CPTP	853
TAS1R3	18
DVL1	1994
MIR6808	0
MXRA8	5741
AURKAIP1	1813
NDUFB4P8	0
CCNL2	6472
MRPL20-AS1	634
MRPL20	1505
RN7SL657P	0
MRPL20-DT	112
ANKRD65	217
ANKRD65-AS1	14
TMEM88B	62
LINC01770	27
VWA1	2272
ATAD3C	95
ATAD3B	734
ENSG00000290916	1
ENSG00000284740	0
ATAD3A	1002
TMEM240	104
SSU72	4784
ENSG00000215014	55
ENSG00000274481	0
FNDC10	324
ENSG00000286989	12
ENSG00000272106	209
MIB2	1902
MMP23B	92
CDK11B	1619
ENSG00000272004	0
SLC35E2B	5595
ENSG00000269737	104
MMP23A	37
CDK11A	79
ENSG00000268575	94
ENSG00000227775	395
ENSG00000290854	96
SLC35E2A	0
NADK	3647
GNB1	20518
GNB1-DT	13
CALML6	18
TMEM52	28
CFAP74	12
ENSG00000233542	2
GABRD	2
PRKCZ-DT	0
PRKCZ	964
ENSG00000271806	4
PRKCZ-AS1	99
FAAP20	1178
ENSG00000234396	0
SKI	6789
ENSG00000287356	105
MORN1	183
ENSG00000272161	0
ENSG00000269896	103
ENSG00000272420	20
RER1	5543
PEX10	583
PLCH2	161
ENSG00000224387	0
ENSG00000229393	1
PANK4	1396
HES5	0
ENSG00000272449	8
TNFRSF14-AS1	57
TNFRSF14	922
ENSG00000225931	10
ENSG00000228037	6
ENSG00000289610	0
PRXL2B	930
MMEL1	22
MMEL1-AS1	2
TTC34	10
ENSG00000285945	0
ENSG00000283259	0
ENSG00000233234	0
ENSG00000287396	0
ENSG00000231630	0
ENSG00000284745	0
ACTRT2	0
PRDM16-DT	37
PRDM16	226
MIR4251	0
ENSG00000226286	0
ENSG00000279839	0
ENSG00000272235	8
ENSG00000287828	12
ENSG00000286518	0
ARHGEF16	841
ENSG00000272088	6
MEGF6	1156
MIR551A	0
ENSG00000238260	6
TPRG1L	3416
WRAP73	908
TP73	40
TP73-AS3	0
TP73-AS2	0
TP73-AS1	1686
ENSG00000276189	0
CCDC27	12
SMIM1	90
LRRC47	2745
RN7SL574P	0
ENSG00000272153	13
CEP104	2192
DFFB	391
C1orf174	1223
LINC01134	17
LINC01346	0
LINC01345	0
LINC02780	0
ENSG00000284703	0
EEF1DP6	0
LINC01777	0
ENSG00000284694	0
ENSG00000227169	0
LINC01646	0
AJAP1	144
ENSG00000287586	2
ENSG00000284739	0
LINC02781	0
LINC02782	2
ENSG00000284616	4
ENSG00000284692	0
ENSG00000284666	0
ENSG00000260972	0
ENSG00000283356	0
ENSG00000236948	0
ENSG00000264341	0
ENSG00000289893	0
MIR4689	0
NPHP4	577
KCNAB2	3247
CHD5	20
ENSG00000285629	0
RPL22	6847
RNF207-AS1	12
RNF207	172
ICMT	5703
ICMT-DT	60
HES3	26
GPR153	839
ACOT7	666
ENSG00000271746	2
HES2	244
ESPN	330
MIR4252	0
ENSG00000231868	0
TNFRSF25	259
PLEKHG5	1186
NOL9	1182
RNU6-731P	0
ENSG00000229519	8
TAS1R1	6
ZBTB48	685
KLHL21	1258
PHF13	2553
THAP3	678
DNAJC11	1951
LINC01672	0
ENSG00000284744	0
CAMTA1-DT	2
CAMTA1	1302
ENSG00000227950	2
CAMTA1-AS3	0
RNU1-8P	0
CAMTA1-IT1	0
CAMTA1-AS2	0
CAMTA1-AS1	2
ENSG00000270171	2
ENSG00000270035	2
ENSG00000269978	12
VAMP3	6390
ENSG00000269925	14
PER3	1354
ENSG00000236266	9
UTS2	88
TNFRSF9	146
ENSG00000270330	0
PARK7	6920
Y_RNA	371
ENSG00000284747	17
ENSG00000284716	2
ERRFI1	9085
ERRFI1-DT	6
RPL7AP18	0
ENSG00000229305	0
ENSG00000288816	0
LINC01714	0
RNU1-7P	0
ENSG00000233645	0
RNU6-991P	0
SLC45A1	6
RERE	7860
RERE-AS1	0
ENSG00000221083	1
ENSG00000270282	0
RPL7P11	6
RPL7P7	4
ENSG00000226545	0
ENSG00000228423	2
RPL23AP19	0
ENO1	66078
MIR6728	0
ENO1-AS1	0
RNU6-304P	0
HMGN2P17	32
ENSG00000232208	12
ENSG00000232663	0
CA6	2
ENSG00000290109	0
RN7SL451P	0
SLC2A7	12
SLC2A5	1027
ENSG00000252404	0
GPR157	1045
MIR34AHG	403
MIR34A	0
ENSG00000289914	0
LNCTAM34A	67
H6PD	9712
SPSB1	1538
ENSG00000284652	4
LINC02606	73
RNA5SP40	0
ENSG00000235263	0
SLC25A33	614
ENSG00000231181	7
TMEM201	726
PIK3CD	1367
PIK3CD-AS1	4
ENSG00000233268	3
PIK3CD-AS2	34
CLSTN1	10519
MZT1P1	0
ENSG00000280113	0
CTNNBIP1	1461
ENSG00000223989	0
ENSG00000285701	2
LZIC	3445
ENSG00000228150	25
NMNAT1	751
RN7SKP269	3
TMEM274P	1
MIR5697	0
ENSG00000241326	0
RBP7	147
UBE4B	7347
RPL21P21	0
PGAM1P11	4
RNU6-828P	4
KIF1B	9195
ENSG00000264881	0
RNU6-37P	4
RN7SL731P	0
ENSG00000284735	20
ENSG00000284642	26
PGD	9717
ENSG00000271989	1
CENPS-CORT	2
CENPS	45
CORT	2
DFFA	4217
ENSG00000203469	0
PEX14	861
ENSG00000287727	2
RN7SL614P	0
CASZ1	89
ENSG00000272078	9
HSPE1P24	0
C1orf127	72
CFL1P6	0
TARDBP	7113
MASP2	196
SRM	2168
EXOSC10	3164
ENSG00000226849	5
EXOSC10-AS1	2
MTOR	5575
MTOR-AS1	0
RNU6-537P	0
ANGPTL7	42
RNU6-291P	0
RPL39P6	4
UBIAD1	924
UBE2V2P3	21
ENSG00000284646	2
MTCYBP45	0
DISP3	40
ENSG00000285833	0
LINC01647	2
ENSG00000284708	0
FBXO2	1227
FBXO44	692
MAD2L2	1284
FBXO6	187
DRAXIN	180
AGTRAP	1021
C1orf167	0
C1orf167-AS1	0
MTHFR	2900
CLCN6	1909
ENSG00000276470	0
ENSG00000278852	0
NPPA	4
ENSG00000275915	0
NPPB	410
SBF1P2	0
ENSG00000285646	39
RNU5E-1	0
RNU5E-4P	0
KIAA2013	3709
PLOD1	24203
ENSG00000287384	0
MFN2	5973
ENSG00000270914	0
MIIP	688
MIR6729	0
RN7SL649P	0
TNFRSF8	108
RNU6-777P	0
RPL23AP89	0
ENSG00000285604	0
MIR7846	0
TNFRSF1B	10080
MIR4632	0
RPL10P17	0
SNORA70	0
VPS13D	5679
SNORA59A	3
LINC02766	15
DHRS3	1715
RNU6ATAC18P	0
MIR6730	0
ENSG00000288927	55
ENSG00000272482	8
AADACL4	2
ENSG00000226166	0
AADACL3	38
CFAP107	6
PRAMEF12	30
PRAMEF1	8
LINC01784	0
PRAMEF11	2
PRAMEF30P	0
HNRNPCL1	28
PRAMEF2	14
PRAMEF4	8
PRAMEF10	6
PRAMEF7	0
RNU6-1072P	0
PRAMEF29P	0
PRAMEF6	2
PRAMEF28P	0
PRAMEF27	0
HNRNPCL3	0
PRAMEF25	3
PRAMEF34P	0
PRAMEF35P	0
HNRNPCL2	17
PRAMEF36P	0
ENSG00000290772	0
ENSG00000233336	0
PRAMEF26	0
HNRNPCL4	13
PRAMEF9	3
PRAMEF13	2
PRAMEF18	1
PRAMEF31P	0
PRAMEF5	0
PRAMEF32P	0
RNU6-771P	0
PRAMEF8	2
PRAMEF33	0
PRAMEF15	14
ENSG00000228229	0
PRAMEF14	0
PRAMEF19	4
PRAMEF17	4
PRAMEF20	8
LRRC38	81
ENSG00000259961	0
BRWD1P1	0
PDPN	16780
RNA5SP41	1
ENSG00000237445	2
ENSG00000253085	0
PRDM2	3970
ENSG00000289380	1
KAZN	970
RNU6-1265P	0
ENSG00000231606	0
KAZN-AS1	0
TBCAP2	1
ENSG00000287756	4
TMEM51-AS1	392
TMEM51	2826
TMEM51-AS2	6
MFFP1	0
ZBTB2P1	2
FHAD1	100
FHAD1-AS1	0
ENSG00000236045	0
EFHD2-AS1	2
EFHD2	4020
CTRC	0
CELA2A	9
CELA2B	4
CASP9	787
DNAJC16	2359
SCARNA21B	2
ENSG00000272510	0
AGMAT	411
ENSG00000237301	2
CHCHD2P6	42
RNU7-179P	0
CD24P1	0
DDI2	4166
RSC1A1	2
ENSG00000271742	0
PLEKHM2	5437
ENSG00000237938	50
SLC25A34	108
SLC25A34-AS1	0
TMEM82	52
FBLIM1	3965
RPL12P14	57
UQCRHL	244
ENSG00000178715	120
SPEN-AS1	100
SPEN	7508
ENSG00000270620	0
ZBTB17	722
ENSG00000234607	0
ENSG00000231353	0
ENSG00000275503	0
TBC1D3P6	0
SRARP	10
ENSG00000233078	0
HSPB7	531
CLCNKA	49
FAM131C2P	2
CLCNKB	93
FAM131C	21
EPHA2	780
EPHA2-AS1	48
ENSG00000224621	0
ARHGEF19-AS1	0
ARHGEF19	604
ENSG00000291077	16
ANO7L1	5
ENSG00000288398	293
CPLANE2	157
MT1XP1	2
FBXO42	2387
SZRD1	5026
RPL22P3	6
SPATA21	3
NECAP2	3840
LINC01772	54
CROCCP3	155
RNU1-1	1
ENSG00000261135	7
ENSG00000285853	0
ENSG00000224174	0
LINC01783	3
RNU1-6P	0
PDE4DIPP8	0
NBPF1	2479
ENSG00000271732	1
CROCCP2	869
ENSG00000283773	0
MST1P2	432
ENSG00000282143	0
RNU1-3	1
ENSG00000280114	0
EIF1AXP1	124
ENSG00000290849	0
ESPNP	0
ENSG00000279151	0
ENSG00000282740	0
CROCC	985
ENSG00000290850	0
RNU1-4	0
CROCCP4	0
ENSG00000290851	64
MST1L	0
ENSG00000223643	0
PDE4DIPP9	0
MIR3675	0
ENSG00000228549	40
RNU1-5P	0
ENSG00000238142	43
ENSG00000235241	0
RNU1-2	0
ENSG00000272426	0
ENSG00000290122	0
MFAP2	2896
ENSG00000286898	0
ENSG00000226526	0
ATP13A2	1492
ENSG00000288636	0
SDHB	2332
PADI2	979
LINC02783	5
ENSG00000282843	0
PADI1	26
PADI3	14
MIR3972	0
PADI4	256
PADI6	0
RCC2-AS1	0
RCC2	8382
ENSG00000290096	4
ARHGEF10L	1703
LINC02810	12
ACTL8	2
ENSG00000284653	0
LINC01654	0
IGSF21	61
ENSG00000280222	6
IGSF21-AS1	0
ENSG00000225387	20
KLHDC7A	150
DYNLL1P3	0
ENSG00000225478	0
PAX7	0
TAS1R2	0
ALDH4A1	478
MIR4695	0
MIR1290	0
IFFO2	1000
ENSG00000272084	5
UBR4	19200
EMC1-AS1	14
EMC1	4811
MRTO4	1368
ENSG00000286064	6
AKR7L	11
AKR7A3	45
ENSG00000270728	54
AKR7A2	1555
RNU6-1099P	5
SLC66A1	1085
CAPZB	14609
RN7SL277P	0
MICOS10	182
RNU4-28P	0
MICOS10-DT	0
NBL1	540
MICOS10-NBL1	0
ENSG00000226396	42
HTR6	12
TMCO4	661
RNF186	56
RNF186-AS1	2
OTUD3	1737
PLA2G2E	0
RN7SL304P	0
PLA2G2A	10563
PLA2G5	76
PLA2G2D	0
PLA2G2F	16
ENSG00000227066	0
PLA2G2C	8
UBXN10	136
LINC01757	0
ENSG00000284710	0
VWA5B1	94
ENSG00000226664	0
LINC01141	0
ENSG00000226487	0
ENSG00000284641	0
ENSG00000284743	0
CAMK2N1	2179
ENSG00000289402	13
MUL1	1693
RPS4XP4	0
FAM43B	76
CDA	154
PINK1	957
MIR6084	0
PINK1-AS	245
DDOST	16504
KIF17	140
ENSG00000235432	0
SH2D5	82
ENSG00000233069	0
HP1BP3	11663
EIF4G3	8693
RNU7-200P	0
MIR1256	0
RPS15AP6	6
ENSG00000236073	0
HSPE1P27	0
ENSG00000287192	0
ECE1	14762
ENSG00000236936	0
ECE1-AS1	13
PPP1R11P1	0
PDE4DIPP10	0
ENSG00000236009	0
NBPF2P	39
HS6ST1P1	16
CROCCP5	12
NBPF3	779
PFN1P10	0
ALPL	1439
ENSG00000289715	0
LINC02596	4
RAP1GAP	656
USP48	4823
ENSG00000231978	0
LDLRAD2	19
HSPG2	20572
RPL21P29	0
ENSG00000283234	0
CELA3B	0
ENSG00000285959	0
RN7SL386P	0
RNU6-1022P	0
CELA3A	0
RN7SL186P	0
RNU6-776P	0
LINC01635	1
LINC00339	68
ENSG00000289694	0
CDC42-AS1	11
ENSG00000285794	0
CDC42	137
CDC42-IT1	1
MPHOSPH6P1	0
WNT4	408
ENSG00000285873	2
MIR4418	0
PPIAP34	0
ENSG00000279625	0
ZBTB40	2890
ZBTB40-IT1	4
EPHA8	12
MIR6127	0
C1QA	1956
ENSG00000289692	0
C1QC	11011
C1QB	5706
EPHB2	2076
MIR4684	0
ENSG00000225952	0
MIR4253	0
LACTBL1	0
TEX46	0
KDM1A	9234
ENSG00000240553	0
MIR3115	0
ENSG00000266802	0
LUZP1	4610
ENSG00000229010	0
RNU6-514P	2
RNU6-135P	2
ENSG00000289014	2
HTR1D	152
RPL29P6	0
LINC01355	132
ENSG00000284726	12
HNRNPR	10467
ZNF436	1880
ZNF436-AS1	72
ENSG00000271420	4
TCEA3	930
ENSG00000232482	0
ASAP3	2189
E2F2	242
ENSG00000235052	6
ID3	2334
ENSG00000285802	2
MDS2	6
EEF1A1P48	0
RPL11	33948
ELOA-AS1	40
ELOA	3523
PITHD1	2242
ENSG00000289835	2
LYPLA2	2615
GALE	2376
HMGCL	1941
FUCA1	14761
CNR2	87
BTBD6P1	6
ENSG00000232557	0
MIR378F	0
H3P1	2
PNRC2	5658
SRSF10	5781
RPL36P5	0
ENSG00000225315	0
MYOM3	36
MYOM3-AS1	0
IL22RA1	95
IFNLR1	425
GRHL3	352
LINC02800	0
GRHL3-AS1	0
STPG1	476
NIPAL3	2098
ENSG00000288982	0
RCAN3AS	0
RCAN3	1468
NCMAP-DT	0
NCMAP	296
ENSG00000227312	0
SRRM1	7725
ENSG00000284699	2
CLIC4	20503
RNU6-1208P	0
RUNX3	1077
MIR6731	0
RUNX3-AS1	7
ENSG00000261025	0
MIR4425	0
LINC02793	0
ENSG00000233755	0
IFITM3P7	0
ENSG00000231953	1
SYF2	2402
ENSG00000284602	38
ENSG00000284657	0
RSRP1	2879
ENSG00000272432	2
ENSG00000261349	13
RHD	33
SDHDP6	24
ENSG00000259984	8
TMEM50A	5099
RHCE	24
ENSG00000238084	22
MACO1	2962
LDLRAP1	1818
ENSG00000225643	2
MAN1C1	2817
ENSG00000233478	2
SELENON	7962
ENSG00000255054	0
ENSG00000228172	38
MTFR1L	2093
ENSG00000272478	0
AUNIP	157
ENSG00000236528	0
PAQR7	1401
STMN1	9455
SNRPFP2	0
ENSG00000223624	1
MIR3917	0
PAFAH2	1468
RNU6-110P	0
ENSG00000252190	0
ENSG00000252691	0
EXTL1	64
SLC30A2	92
ENSG00000284309	8
TRIM63	66
PDIK1L	645
FAM110D	42
C1orf232	0
ZNF593OS	9
ZNF593	0
CNKSR1	403
CATSPER4	0
ZPLD2P	38
ENSG00000278572	6
CEP85	1163
ENSG00000270733	2
SH3BGRL3	4866
UBXN11	582
CD52	245
CRYBG2	600
ENSG00000225854	6
ZNF683	16
LIN28A	2574
DHDDS	2361
RPL17P9	2
DHDDS-AS1	2
HMGN2	15438
DPPA2P2	2
RPS6KA1	3299
MIR1976	0
RN7SL679P	0
RNU7-29P	0
ENSG00000289452	0
ENSG00000229247	0
ENSG00000238316	0
ENSG00000235069	0
ENSG00000260063	33
ENSG00000290006	0
ARID1A	12737
PIGV	837
RN7SL165P	0
ENSG00000287810	0
ZDHHC18	2693
SFN	606
GPN2	1376
ENSG00000226698	0
ENSG00000289554	55
GPATCH3	741
NUDC	3884
NR0B2	20
KDF1	271
RPL12P13	6
RPL32P6	0
OSTCP2	62
TRNP1	893
TENT5B	550
SLC9A1	4123
ENSG00000229985	0
CHCHD3P3	2
NPM1P39	286
SNRPEP7	0
WDTC1-DT	0
WDTC1	3607
ENSG00000243659	0
TMEM222	1108
RNU6-48P	0
ACTG1P20	7
SYTL1	954
MAP3K6	673
FCN3	8
CD164L2	6
ENSG00000231207	0
GPR3	8
WASF2	13952
ENSG00000241169	0
ENSG00000237429	12
AHDC1	3265
FGR	521
ENSG00000235912	62
LINC02574	4
IFI6	2329
ENSG00000225886	0
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
ENSG00000287244	0
FAM76A	527
ENSG00000231344	6
RPEP3	0
STX12	3993
ENSG00000269971	8
ENSG00000270031	2
RNU6-1245P	0
ENSG00000286433	2
PPP1R8	2630
SCARNA1	0
THEMIS2	938
RPA2	2392
SMPDL3B	165
ENSG00000227050	0
XKR8	1115
EYA3	2197
ENSG00000238231	6
RN7SL559P	0
SPCS2P4	188
ENSG00000228943	0
ENSG00000289576	0
ARL8BP2	2
RNU6-176P	0
PTAFR	3643
DNAJC8	6673
ENSG00000290123	1
ATP5IF1	1040
ENSG00000270605	101
ENSG00000271398	1
SESN2	3634
MED18	683
PHACTR4	3793
DNAJC8P4	0
RNU6ATAC27P	0
RCC1	2178
SNHG3	557
SNORA73A	0
SNORA73B	18
PRDX3P2	0
ENSG00000279443	28
TRNAU1AP	881
SNHG12	601
SNORD99	2
SNORA61	0
SNORA44	0
SNORA16A	0
TAF12	1093
RAB42	958
TAF12-DT	3
ENSG00000270103	0
RNU11	0
GMEB1	1246
ENSG00000252777	0
ENSG00000289291	35
YTHDF2	4544
OPRD1	50
ENSG00000233427	0
EPB41	4698
ENSG00000225616	12
Metazoa_SRP	84
TMEM200B	711
ENSG00000225750	2
SRSF4	6074
ENSG00000277916	0
MECR	699
ENSG00000237934	0
PTPRU	3286
LINC01756	0
ENSG00000225011	0
ENSG00000228176	0
ENSG00000284676	0
ENSG00000270927	0
LINC01648	2
ENSG00000233372	0
ENSG00000231251	0
ENSG00000236335	0
ENSG00000231949	0
ENSG00000289710	0
MATN1	63
MATN1-AS1	72
ENSG00000287510	0
LAPTM5	12561
MIR4420	2
ENSG00000229607	0
LINC01778	8
RN7SKP91	0
ENSG00000235143	0
SDC3	12533
RN7SL371P	0
PUM1	8753
ENSG00000237329	0
ENSG00000232768	2
SELENOWP1	0
RPL21P22	0
NKAIN1	144
SNRNP40	1820
ENSG00000229447	12
ZCCHC17	909
ENSG00000229044	0
FABP3	1025
SERINC2	1601
EEF1A1P46	0
RNU6-40P	0
LDC1P	3
LINC01226	15
ENSG00000229167	13
TINAGL1	2885
HCRTR1	18
PEF1	2156
PEF1-AS1	21
ENSG00000264078	0
COL16A1	8759
ADGRB2	2343
MIR4254	0
ENSG00000254545	0
SPOCD1	204
ENSG00000203620	0
ENSG00000269967	8
PTP4A2	15551
ENSG00000288678	0
ENSG00000228634	9
ENSG00000284702	0
KHDRBS1	13022
ENSG00000203325	3
TMEM39B	810
MIR5585	0
KPNA6	6554
ENSG00000250135	0
TXLNA	5674
CCDC28B	323
ENSG00000224066	1
IQCC	130
DCDC2B	23
TMEM234	331
EIF3I	7395
ENSG00000291132	37
MTMR9LP	0
ENSG00000290045	5
FAM167B	55
LCK	48
HDAC1	6083
MARCKSL1	9980
ENSG00000233775	0
TSSK3	18
FAM229A	65
BSDC1	3144
GAPDHP20	0
ENSG00000270850	0
LRRC37A12P	6
RN7SL122P	0
ENSG00000254553	0
ZBTB8B	146
ZBTB8A	459
ZBTB8OS	652
RBBP4	9537
SYNC	111
ENSG00000224409	0
KIAA1522	6631
YARS1	8501
S100PBP	2133
FNDC5	615
HPCA	12
TMEM54	440
ENSG00000287691	6
RNF19B	1348
ENSG00000278966	0
ENSG00000217644	0
ENSG00000239670	0
ENSG00000236065	0
AK2	5961
AZIN2	242
ENSG00000278997	18
TRIM62	369
ENSG00000279179	10
ENSG00000284721	0
ZNF362	2647
ENSG00000270115	14
A3GALT2	8
ENSG00000225313	70
PHC2	4470
MIR3605	1
RN7SKP16	4
PHC2-AS1	1
TLR12P	0
ZSCAN20	667
ENSG00000235907	0
CSMD2	101
HSPD1P14	0
HMGB4	0
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0
ENSG00000270241	0
ENSG00000287703	2
MIR552	0
SMIM12	1290
GJB5	32
GJB4	10
ENSG00000255811	0
GJB3	101
GJA4	198
ENSG00000230163	0
DLGAP3	113
ENSG00000284773	15
GPR199P	6
TMEM35B	2
ENSG00000271741	0
ZMYM6	618
ZMYM1	985
RPL12P45	0
EFCAB14P1	6
ENSG00000284640	23
SFPQ	12776
ZMYM4	6147
RN7SL503P	0
SNORA62	1
RPL5P4	186
ZMYM4-AS1	4
KIAA0319L	7791
ENSG00000236274	2
NCDN	1170
TFAP2E-AS1	17
TFAP2E	66
PSMB2	5972
C1orf216	613
CLSPN	938
ENSG00000232335	0
AGO4	2886
AGO1	5559
CFAP97P1	0
ENSG00000286899	0
ENSG00000271914	0
AGO3	2869
ENSG00000271554	10
ENSG00000232862	0
TEKT2	19
ADPRS	1179
COL8A2	2614
TRAPPC3	2732
MAP7D1	6152
RN7SL131P	0
THRAP3	11080
UBE2V2P4	0
SH3D21	1512
EVA1B	0
ENSG00000286379	15
STK40	5036
LSM10	884
RNU4-27P	0
OSCP1	215
SNORA63C	0
MRPS15	2628
CSF3R	3552
FTLP18	0
ENSG00000284705	0
ENSG00000284720	0
ENSG00000234481	0
GRIK3	20
ENSG00000284650	0
ENSG00000223944	0
MIR4255	0
RNU6-636P	0
RNA5SP43	0
RPS29P6	0
ZC3H12A-DT	140
ZC3H12A	355
MIR6732	0
MEAF6	2391
MIR5581	0
SNIP1	1071
FTH1P1	50
RPS27P9	84
DNALI1	1026
GNL2	3453
ENSG00000284748	2
RSPO1	1218
C1orf109	987
CDCA8	969
EPHA10	26
ACTN4P2	0
ENSG00000227416	0
MANEAL	90
ENSG00000233728	0
YRDC	539
C1orf122	1097
MTF1	1852
ENSG00000235673	0
ENSG00000230955	0
INPP5B	1534
SNORA63	0
RNU6-584P	0
SF3A3	4630
RNU6-510P	2
FHL3	1126
UTP11	2245
POU3F1	60
MIR3659HG	4
ENSG00000223589	0
MIR3659	0
LINC02786	0
ENSG00000286552	0
ENSG00000287987	0
LINC01343	0
ENSG00000275350	0
RNU6-753P	0
LINC01685	0
HSPA5P1	276
ENSG00000284632	2
RRAGC	1832
ENSG00000273637	0
RRAGC-DT	39
MYCBP	659
ENSG00000274944	0
GJA9	1
RHBDL2	35
RNU6-605P	0
EIF1P2	0
AKIRIN1	6818
NDUFS5	3215
MACF1	19068
RNU6-608P	0
RNA5SP44	1
ENSG00000287422	0
ENSG00000226438	0
HSPE1P8	6
BMP8A	147
OXCT2P1	0
PPIEL	221
PABPC4	9299
PABPC4-AS1	11
SNORA55	0
HEYL	971
ENSG00000225903	0
NT5C1A	106
HPCAL4	144
PPIE	1690
ENSG00000225333	6
RNU7-121P	0
ENSG00000289711	0
BMP8B	136
OXCT2	0
BMP8B-AS1	4
ENSG00000261798	0
ENSG00000229213	0
ENSG00000284719	2
LINC02811	0
TRIT1	958
MYCL	413
MYCL-AS1	0
MFSD2A	193
ENSG00000228477	6
CAP1	19338
PPT1	8563
OAZ1P1	0
RLF	4209
RNU6-1237P	0
TMCO2	0
ZMPSTE24-DT	150
ZMPSTE24	3463
ENSG00000231296	0
COL9A2	1102
RPL21P20	12
SMAP2	3318
ENSG00000213172	0
ENSG00000290111	4
ENSG00000284677	0
ZFP69B	198
ENSG00000260920	204
ENSG00000279667	2
ZFP69	193
EXO5-DT	7
EXO5	151
ENSG00000227278	0
ENSG00000238186	10
ZNF684	146
ENSG00000286838	0
ENSG00000236505	0
GTF2F2P2	0
RIMS3	1103
ENSG00000287743	6
ENSG00000237899	1
NFYC-AS1	17
NFYC	2305
MIR30E	0
MIR30C1	0
KCNQ4	19
RN7SL326P	0
CITED4	102
ENSG00000229528	0
ENSG00000228940	0
ENSG00000286668	0
UBE2V1P8	0
CTPS1	1735
SLFNL1-AS1	33
SLFNL1	10
SCMH1	2473
RPL23AP17	0
ENSG00000287400	0
SCMH1-DT	4
RPL36AP9	0
ENSG00000291157	0
ENSG00000286640	0
FOXO6	165
FOXO6-AS1	0
RNA5SP45	0
EDN2	0
HIVEP3	711
ENSG00000230881	0
ENSG00000230638	0
ENSG00000284895	0
ENSG00000287587	0
HNRNPFP1	0
ENSG00000228776	0
GUCA2B	2
GUCA2A	80
FOXJ3	4267
ENSG00000227527	12
RIMKLA	300
ENSG00000235002	4
ZMYND12	60
PPCS	1823
CCDC30	173
RPS3AP11	0
TMSB4XP1	29
RNU6-536P	0
ENSG00000236180	1
PPIH	615
ENSG00000285728	56
ENSG00000234917	1
YBX1	35281
CLDN19	501
P3H1	10548
C1orf50	265
ENSG00000283580	0
C1orf50-AS1	0
TMEM269	44
SVBP	676
ERMAP	692
ZNF691-DT	60
ZNF691	386
ENSG00000233708	0
MKRN8P	0
ATP6V1E1P1	16
ENSG00000288955	11
SLC2A1	78369
ATP6V0CP4	1
SLC2A1-DT	112
ENSG00000283973	13
RNU6-880P	0
ENSG00000277513	0
CFAP144	50
EBNA1BP2	1756
MIR6733	0
CFAP57	20
RNA5SP46	0
TMEM125	418
C1orf210	289
TIE1	1122
MPL	66
ENSG00000287113	0
