# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "16" "-p" "-t" "exon" "-g" "gene_name" "-a" "/home/alexto22/00_reference/GRCh38.p14_DNA_primary_assembly_index/gencode.v44.primary_assembly.annotation.gtf" "-o" "./featurecounts/b2s_sorted_featurecounts.txt" "./bam_sorted/b2s_sorted.bam" 
Geneid	./bam_sorted/b2s_sorted.bam
MICOS10-NBL1	0
ENSG00000226396	77
HTR6	2
TMCO4	84
RNF186	6
RNF186-AS1	0
OTUD3	925
PLA2G2E	0
RN7SL304P	0
PLA2G2A	856
PLA2G5	0
PLA2G2D	10
PLA2G2F	6
ENSG00000227066	4
PLA2G2C	8
UBXN10	12
LINC01757	0
ENSG00000284710	0
VWA5B1	12
ENSG00000226664	0
LINC01141	0
ENSG00000226487	0
ENSG00000284641	1
ENSG00000284743	0
CAMK2N1	1329
ENSG00000289402	2
MUL1	1018
RPS4XP4	0
FAM43B	42
CDA	112
PINK1	646
MIR6084	0
PINK1-AS	21
DDOST	5529
KIF17	115
ENSG00000235432	0
SH2D5	91
ENSG00000233069	0
HP1BP3	4306
EIF4G3	4428
RNU7-200P	0
MIR1256	0
RPS15AP6	0
ENSG00000236073	0
HSPE1P27	2
ENSG00000287192	2
ECE1	5475
ENSG00000236936	8
ECE1-AS1	0
PPP1R11P1	0
PDE4DIPP10	0
ENSG00000236009	0
NBPF2P	6
HS6ST1P1	2
CROCCP5	0
NBPF3	230
PFN1P10	0
ALPL	68
ENSG00000289715	0
LINC02596	0
RAP1GAP	384
USP48	2435
ENSG00000231978	0
LDLRAD2	4
HSPG2	9851
RPL21P29	0
ENSG00000283234	0
CELA3B	0
ENSG00000285959	0
RN7SL386P	0
RNU6-1022P	0
CELA3A	0
RN7SL186P	0
RNU6-776P	0
LINC01635	0
LINC00339	5
ENSG00000289694	0
CDC42-AS1	5
ENSG00000285794	0
CDC42	126
CDC42-IT1	0
MPHOSPH6P1	0
WNT4	277
ENSG00000285873	0
MIR4418	0
PPIAP34	0
ENSG00000279625	0
ZBTB40	1622
ZBTB40-IT1	13
EPHA8	4
MIR6127	0
C1QA	268
ENSG00000289692	0
C1QC	2126
C1QB	474
EPHB2	1392
MIR4684	0
ENSG00000225952	0
MIR4253	0
LACTBL1	0
TEX46	0
KDM1A	4875
ENSG00000240553	0
MIR3115	0
ENSG00000266802	0
LUZP1	4061
ENSG00000229010	0
RNU6-514P	0
RNU6-135P	1
ENSG00000289014	0
HTR1D	56
RPL29P6	2
LINC01355	88
ENSG00000284726	10
HNRNPR	6032
ZNF436	702
ZNF436-AS1	66
ENSG00000271420	2
TCEA3	481
ENSG00000232482	0
ASAP3	1047
E2F2	10
ENSG00000235052	3
ID3	2014
ENSG00000285802	2
MDS2	0
EEF1A1P48	1
RPL11	30415
ELOA-AS1	22
ELOA	6731
PITHD1	2493
ENSG00000289835	39
LYPLA2	1421
GALE	758
HMGCL	673
FUCA1	16278
CNR2	36
BTBD6P1	2
ENSG00000232557	1
MIR378F	0
H3P1	4
PNRC2	2416
SRSF10	4179
RPL36P5	0
ENSG00000225315	0
MYOM3	0
MYOM3-AS1	0
IL22RA1	8
IFNLR1	157
GRHL3	174
LINC02800	0
GRHL3-AS1	0
STPG1	184
NIPAL3	699
ENSG00000288982	8
RCAN3AS	0
RCAN3	565
NCMAP-DT	6
NCMAP	124
ENSG00000227312	0
SRRM1	13068
ENSG00000284699	0
CLIC4	15339
RNU6-1208P	2
RUNX3	475
MIR6731	0
RUNX3-AS1	12
ENSG00000261025	0
MIR4425	0
LINC02793	0
ENSG00000233755	0
IFITM3P7	0
ENSG00000231953	0
SYF2	3841
ENSG00000284602	19
ENSG00000284657	0
RSRP1	2939
ENSG00000272432	5
ENSG00000261349	22
RHD	42
SDHDP6	46
ENSG00000259984	1
TMEM50A	3025
RHCE	49
ENSG00000238084	40
MACO1	2856
LDLRAP1	324
ENSG00000225643	17
MAN1C1	399
ENSG00000233478	10
SELENON	2018
ENSG00000255054	0
ENSG00000228172	4
MTFR1L	890
ENSG00000272478	0
AUNIP	31
ENSG00000236528	0
PAQR7	466
STMN1	1139
SNRPFP2	0
ENSG00000223624	2
MIR3917	0
PAFAH2	267
RNU6-110P	0
ENSG00000252190	0
ENSG00000252691	0
EXTL1	2
SLC30A2	0
ENSG00000284309	0
TRIM63	102
PDIK1L	200
FAM110D	0
C1orf232	0
ZNF593OS	16
ZNF593	0
CNKSR1	211
CATSPER4	4
ZPLD2P	8
ENSG00000278572	2
CEP85	903
ENSG00000270733	0
SH3BGRL3	2170
UBXN11	115
CD52	48
CRYBG2	661
ENSG00000225854	2
ZNF683	0
LIN28A	160
DHDDS	2353
RPL17P9	8
DHDDS-AS1	6
HMGN2	5285
DPPA2P2	0
RPS6KA1	1637
MIR1976	0
RN7SL679P	0
RNU7-29P	0
ENSG00000289452	0
ENSG00000229247	0
ENSG00000238316	0
ENSG00000235069	0
ENSG00000260063	0
ENSG00000290006	0
ARID1A	5232
PIGV	270
RN7SL165P	0
ENSG00000287810	0
ZDHHC18	2665
SFN	812
GPN2	2119
ENSG00000226698	0
ENSG00000289554	101
GPATCH3	404
NUDC	3706
NR0B2	0
KDF1	46
RPL12P13	4
RPL32P6	0
OSTCP2	96
TRNP1	108
TENT5B	290
SLC9A1	2897
ENSG00000229985	0
CHCHD3P3	12
NPM1P39	326
SNRPEP7	0
WDTC1-DT	0
WDTC1	2006
ENSG00000243659	3
TMEM222	899
RNU6-48P	0
ACTG1P20	2
SYTL1	194
MAP3K6	240
FCN3	0
CD164L2	2
ENSG00000231207	0
GPR3	218
WASF2	10921
ENSG00000241169	2
ENSG00000237429	8
AHDC1	3088
FGR	112
ENSG00000235912	42
LINC02574	0
IFI6	609
ENSG00000225886	2
RNU6-949P	0
CHMP1AP1	0
RNU6-424P	0
ENSG00000287244	2
FAM76A	363
ENSG00000231344	0
RPEP3	0
STX12	4198
ENSG00000269971	2
ENSG00000270031	1
RNU6-1245P	0
ENSG00000286433	0
PPP1R8	1049
SCARNA1	0
THEMIS2	265
RPA2	1063
SMPDL3B	6
ENSG00000227050	0
XKR8	585
EYA3	1978
ENSG00000238231	0
RN7SL559P	2
SPCS2P4	94
ENSG00000228943	0
ENSG00000289576	1
ARL8BP2	8
RNU6-176P	0
PTAFR	1536
DNAJC8	3928
ENSG00000290123	0
ATP5IF1	411
ENSG00000270605	31
ENSG00000271398	4
SESN2	1950
MED18	528
PHACTR4	1693
DNAJC8P4	0
RNU6ATAC27P	0
RCC1	3231
SNHG3	847
SNORA73A	0
SNORA73B	14
PRDX3P2	0
ENSG00000279443	88
TRNAU1AP	633
SNHG12	2956
SNORD99	28
SNORA61	0
SNORA44	0
SNORA16A	0
TAF12	1022
RAB42	259
TAF12-DT	0
ENSG00000270103	0
RNU11	0
GMEB1	392
ENSG00000252777	0
ENSG00000289291	4
YTHDF2	2525
OPRD1	55
ENSG00000233427	6
EPB41	3672
ENSG00000225616	38
Metazoa_SRP	43
TMEM200B	271
ENSG00000225750	0
SRSF4	6656
ENSG00000277916	0
MECR	262
ENSG00000237934	0
PTPRU	1681
LINC01756	0
ENSG00000225011	0
ENSG00000228176	0
ENSG00000284676	0
ENSG00000270927	0
LINC01648	0
ENSG00000233372	0
ENSG00000231251	0
ENSG00000236335	0
ENSG00000231949	0
ENSG00000289710	0
MATN1	71
MATN1-AS1	159
ENSG00000287510	2
LAPTM5	5042
MIR4420	0
ENSG00000229607	0
LINC01778	0
RN7SKP91	0
ENSG00000235143	0
SDC3	6516
RN7SL371P	0
PUM1	5746
ENSG00000237329	0
ENSG00000232768	4
SELENOWP1	3
RPL21P22	0
NKAIN1	42
SNRNP40	938
ENSG00000229447	19
ZCCHC17	609
ENSG00000229044	0
FABP3	300
SERINC2	1000
EEF1A1P46	0
RNU6-40P	0
LDC1P	3
LINC01226	0
ENSG00000229167	0
TINAGL1	827
HCRTR1	0
PEF1	1189
PEF1-AS1	8
ENSG00000264078	0
COL16A1	1699
ADGRB2	1138
MIR4254	0
ENSG00000254545	1
SPOCD1	84
ENSG00000203620	0
ENSG00000269967	19
PTP4A2	15285
ENSG00000288678	0
ENSG00000228634	14
ENSG00000284702	0
KHDRBS1	12270
ENSG00000203325	15
TMEM39B	300
MIR5585	0
KPNA6	5165
ENSG00000250135	0
TXLNA	2893
CCDC28B	246
ENSG00000224066	2
IQCC	35
DCDC2B	4
TMEM234	59
EIF3I	10991
ENSG00000291132	14
MTMR9LP	0
ENSG00000290045	7
FAM167B	12
LCK	6
HDAC1	1565
MARCKSL1	3994
ENSG00000233775	0
TSSK3	9
FAM229A	189
BSDC1	3138
GAPDHP20	0
ENSG00000270850	0
LRRC37A12P	0
RN7SL122P	0
ENSG00000254553	0
ZBTB8B	26
ZBTB8A	42
ZBTB8OS	202
RBBP4	4136
SYNC	8
ENSG00000224409	0
KIAA1522	4442
YARS1	6023
S100PBP	1043
FNDC5	83
HPCA	14
TMEM54	57
ENSG00000287691	11
RNF19B	1139
ENSG00000278966	0
ENSG00000217644	4
ENSG00000239670	0
ENSG00000236065	0
AK2	2738
AZIN2	60
ENSG00000278997	22
TRIM62	143
ENSG00000279179	10
ENSG00000284721	0
ZNF362	242
ENSG00000270115	7
A3GALT2	0
ENSG00000225313	94
PHC2	3209
MIR3605	2
RN7SKP16	7
PHC2-AS1	0
TLR12P	0
ZSCAN20	218
ENSG00000235907	4
CSMD2	55
HSPD1P14	0
HMGB4	0
CSMD2-AS1	0
RNA5SP42	0
C1orf94	0
ENSG00000270241	0
ENSG00000287703	0
MIR552	0
SMIM12	270
GJB5	7
GJB4	0
ENSG00000255811	0
GJB3	32
GJA4	40
ENSG00000230163	0
DLGAP3	22
ENSG00000284773	27
GPR199P	5
TMEM35B	6
ENSG00000271741	0
ZMYM6	227
ZMYM1	315
RPL12P45	0
EFCAB14P1	4
ENSG00000284640	4
SFPQ	5555
ZMYM4	2020
RN7SL503P	0
SNORA62	0
RPL5P4	246
ZMYM4-AS1	2
KIAA0319L	3823
ENSG00000236274	0
NCDN	415
TFAP2E-AS1	35
TFAP2E	111
PSMB2	3881
C1orf216	111
CLSPN	86
ENSG00000232335	0
AGO4	811
AGO1	2560
CFAP97P1	0
ENSG00000286899	0
ENSG00000271914	0
AGO3	3932
ENSG00000271554	0
ENSG00000232862	0
TEKT2	5
ADPRS	825
COL8A2	602
TRAPPC3	1546
MAP7D1	4362
RN7SL131P	0
THRAP3	8126
UBE2V2P4	0
SH3D21	1093
EVA1B	0
ENSG00000286379	51
STK40	5952
LSM10	619
RNU4-27P	0
OSCP1	78
SNORA63C	0
MRPS15	1605
CSF3R	3509
FTLP18	0
ENSG00000284705	0
ENSG00000284720	0
ENSG00000234481	0
GRIK3	4
ENSG00000284650	0
ENSG00000223944	2
MIR4255	0
RNU6-636P	0
RNA5SP43	0
RPS29P6	0
ZC3H12A-DT	135
ZC3H12A	2505
MIR6732	0
MEAF6	1124
MIR5581	0
SNIP1	1386
FTH1P1	134
RPS27P9	112
DNALI1	459
GNL2	7475
ENSG00000284748	0
RSPO1	253
C1orf109	642
CDCA8	182
EPHA10	9
ACTN4P2	0
ENSG00000227416	0
MANEAL	1
ENSG00000233728	0
YRDC	1289
C1orf122	610
MTF1	2113
ENSG00000235673	0
ENSG00000230955	0
INPP5B	690
SNORA63	3
RNU6-584P	0
SF3A3	2019
RNU6-510P	14
FHL3	1890
UTP11	2453
POU3F1	4
MIR3659HG	5
ENSG00000223589	0
MIR3659	0
LINC02786	0
ENSG00000286552	0
ENSG00000287987	0
LINC01343	2
ENSG00000275350	0
RNU6-753P	0
LINC01685	0
HSPA5P1	358
ENSG00000284632	0
RRAGC	1506
ENSG00000273637	0
RRAGC-DT	7
MYCBP	142
ENSG00000274944	0
GJA9	0
RHBDL2	6
RNU6-605P	0
EIF1P2	0
AKIRIN1	7394
NDUFS5	1905
MACF1	10764
RNU6-608P	0
RNA5SP44	0
ENSG00000287422	0
ENSG00000226438	0
HSPE1P8	8
BMP8A	6
OXCT2P1	0
PPIEL	32
PABPC4	5374
PABPC4-AS1	4
SNORA55	0
HEYL	65
ENSG00000225903	0
NT5C1A	48
HPCAL4	118
PPIE	1138
ENSG00000225333	2
RNU7-121P	0
ENSG00000289711	0
BMP8B	46
OXCT2	0
BMP8B-AS1	0
ENSG00000261798	0
ENSG00000229213	0
ENSG00000284719	0
LINC02811	0
TRIT1	448
MYCL	142
MYCL-AS1	0
MFSD2A	428
ENSG00000228477	8
CAP1	12010
PPT1	1770
OAZ1P1	0
RLF	3417
RNU6-1237P	0
TMCO2	4
ZMPSTE24-DT	36
ZMPSTE24	2064
ENSG00000231296	1
COL9A2	188
RPL21P20	14
SMAP2	1769
ENSG00000213172	0
ENSG00000290111	0
ENSG00000284677	0
ZFP69B	10
ENSG00000260920	42
ENSG00000279667	0
ZFP69	16
EXO5-DT	4
EXO5	16
ENSG00000227278	0
ENSG00000238186	0
ZNF684	45
ENSG00000286838	0
ENSG00000236505	0
GTF2F2P2	0
RIMS3	248
ENSG00000287743	0
ENSG00000237899	0
NFYC-AS1	30
NFYC	1189
MIR30E	0
MIR30C1	0
KCNQ4	6
RN7SL326P	0
CITED4	88
ENSG00000229528	0
ENSG00000228940	0
ENSG00000286668	0
UBE2V1P8	0
CTPS1	684
SLFNL1-AS1	6
SLFNL1	22
SCMH1	1279
RPL23AP17	0
ENSG00000287400	2
SCMH1-DT	0
RPL36AP9	4
ENSG00000291157	4
ENSG00000286640	0
FOXO6	100
FOXO6-AS1	2
RNA5SP45	0
EDN2	0
HIVEP3	1236
ENSG00000230881	2
ENSG00000230638	4
ENSG00000284895	0
ENSG00000287587	2
HNRNPFP1	0
ENSG00000228776	0
GUCA2B	0
GUCA2A	2
FOXJ3	4567
ENSG00000227527	2
RIMKLA	0
ENSG00000235002	0
ZMYND12	18
PPCS	222
CCDC30	138
RPS3AP11	2
TMSB4XP1	13
RNU6-536P	0
ENSG00000236180	0
PPIH	467
ENSG00000285728	40
ENSG00000234917	1
YBX1	24628
CLDN19	67
P3H1	5027
C1orf50	97
ENSG00000283580	0
C1orf50-AS1	0
TMEM269	119
SVBP	350
ERMAP	267
ZNF691-DT	2
ZNF691	120
ENSG00000233708	0
MKRN8P	2
ATP6V1E1P1	30
ENSG00000288955	3
SLC2A1	21249
ATP6V0CP4	12
SLC2A1-DT	42
ENSG00000283973	3
RNU6-880P	1
ENSG00000277513	0
CFAP144	14
EBNA1BP2	902
MIR6733	0
CFAP57	18
RNA5SP46	0
TMEM125	46
C1orf210	84
TIE1	268
MPL	13
ENSG00000287113	0
CDC20-DT	9
CDC20	402
ELOVL1	1403
MIR6734	0
ENSG00000288772	2
MED8	1487
MED8-AS1	33
